time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
33785419.0,7032.0,1.0,0.5916137695,-0.2875976563,0.6778564453,0.3282470703
33795419.0,7032.0,1.0,0.5916137695,-0.2875976563,0.6778564453,0.3282470703
33798387.0,2968.0,0.0,0.01953125,-0.09765625,0.0,0
33805419.0,7032.0,1.0,0.5916748047,-0.2875976563,0.6778564453,0.3282470703
33808387.0,2968.0,0.0,-0.015625,-0.09765625,-0.078125,0
33815419.0,7032.0,1.0,0.5916748047,-0.2876586914,0.6778564453,0.3282470703
33818387.0,2968.0,0.0,-0.0234375,-0.08984375,-0.0703125,0
33825419.0,7032.0,1.0,0.5916748047,-0.2876586914,0.6778564453,0.3282470703
33828387.0,2968.0,0.0,0.01171875,-0.09765625,-0.1015625,0
33835419.0,7032.0,1.0,0.5916748047,-0.2876586914,0.6778564453,0.3283081055
33838387.0,2968.0,0.0,-0.0234375,-0.1328125,-0.0625,0
33845419.0,7032.0,1.0,0.5916137695,-0.2876586914,0.6777954102,0.3283081055
33848387.0,2968.0,0.0,-0.015625,-0.125,-0.0234375,0
33855419.0,7032.0,1.0,0.5916137695,-0.2876586914,0.6778564453,0.3283081055
33858387.0,2968.0,0.0,0.01953125,0.06640625,0.16796875,0
33865419.0,7032.0,1.0,0.5916137695,-0.2875976563,0.6778564453,0.3283081055
33868387.0,2968.0,0.0,-0.015625,0.06640625,0.19921875,0
33875419.0,7032.0,1.0,0.5916137695,-0.2875976563,0.6778564453,0.3282470703
33878387.0,2968.0,0.0,-0.015625,0.1015625,0.19921875,0
33885419.0,7032.0,1.0,0.5916137695,-0.2875976563,0.6778564453,0.3282470703
33888387.0,2968.0,0.0,-0.015625,-0.01171875,0.0078125,0
33895419.0,7032.0,1.0,0.5916748047,-0.2875976563,0.6778564453,0.3282470703
33898387.0,2968.0,0.0,0.01953125,-0.08984375,-0.0703125,0
33905419.0,7032.0,1.0,0.5916748047,-0.2875976563,0.6778564453,0.3282470703
33908387.0,2968.0,0.0,-0.015625,-0.05078125,-0.0703125,0
33915419.0,7032.0,1.0,0.5916748047,-0.2875976563,0.6778564453,0.3282470703
33918387.0,2968.0,0.0,-0.015625,-0.05078125,-0.0703125,0
33925419.0,7032.0,1.0,0.5916137695,-0.2875976563,0.6778564453,0.3283081055
33928387.0,2968.0,0.0,0.01953125,-0.01171875,0.04296875,0
33935419.0,7032.0,1.0,0.5916137695,-0.2875976563,0.6778564453,0.3283081055
33938387.0,2968.0,0.0,0.01953125,0.06640625,0.12109375,0
33945419.0,7032.0,1.0,0.5916137695,-0.2875976563,0.6778564453,0.3283081055
33948387.0,2968.0,0.0,-0.015625,0.109375,0.19921875,0
33955419.0,7032.0,1.0,0.5915527344,-0.2875976563,0.6779174805,0.3283081055
33958387.0,2968.0,0.0,0.01953125,0.07421875,0.19921875,0
33965419.0,7032.0,1.0,0.5915527344,-0.2875976563,0.6779174805,0.3282470703
33968387.0,2968.0,0.0,0.01953125,0.03515625,0.04296875,0
33975419.0,7032.0,1.0,0.5915527344,-0.2876586914,0.6779785156,0.3282470703
33978387.0,2968.0,0.0,-0.015625,-0.00390625,0.0078125,0
33985419.0,7032.0,1.0,0.5914916992,-0.2876586914,0.6779785156,0.3281860352
33988387.0,2968.0,0.0,-0.015625,-0.1171875,-0.078125,0
33996419.0,8032.0,1.0,0.5914916992,-0.2877197266,0.6779785156,0.3282470703
33999387.0,2968.0,0.0,0.01171875,-0.15625,-0.078125,0
34005419.0,6032.0,1.0,0.5914306641,-0.2877197266,0.6779785156,0.3282470703
34008387.0,2968.0,0.0,-0.015625,-0.08203125,-0.0390625,0
