time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
11723429.0,7032.0,1.0,0.311340332,-0.6189575195,0.4028930664,0.5980224609
11726397.0,2968.0,0.0,-0.0078125,-0.15625,-0.0625,0
11732429.0,6032.0,1.0,0.3112792969,-0.6189575195,0.4028320313,0.5980834961
11735397.0,2968.0,0.0,0.02734375,-0.15625,-0.0234375,0
11742429.0,7032.0,1.0,0.3112792969,-0.6189575195,0.4027709961,0.5981445313
11746397.0,3968.0,0.0,-0.0078125,-0.140625,-0.0703125,0
11753429.0,7032.0,1.0,0.3112182617,-0.6189575195,0.4027099609,0.5982055664
11756397.0,2968.0,0.0,-0.0078125,-0.1484375,-0.03125,0
11762429.0,6032.0,1.0,0.3112182617,-0.6188964844,0.4027099609,0.5982666016
11765397.0,2968.0,0.0,0.02734375,-0.0625,0.0078125,0
11772429.0,7032.0,1.0,0.3111572266,-0.6188964844,0.4026489258,0.5983276367
11775397.0,2968.0,0.0,-0.0078125,-0.140625,0.046875,0
11783429.0,8032.0,1.0,0.3111572266,-0.6188964844,0.4025878906,0.598449707
11786397.0,2968.0,0.0,0.01953125,0.12890625,-0.14453125,0
11793429.0,7032.0,1.0,0.3110961914,-0.6188354492,0.4025268555,0.5985107422
11796397.0,2968.0,0.0,-0.015625,0.01171875,-0.0703125,0
11802429.0,6032.0,1.0,0.3110961914,-0.6188354492,0.4024658203,0.5985717773
11805397.0,2968.0,0.0,-0.015625,-0.046875,-0.03125,0
11812429.0,7032.0,1.0,0.3110961914,-0.6187744141,0.4024658203,0.5986328125
11815397.0,2968.0,0.0,0.01953125,0.02734375,-0.03125,0
11823429.0,8032.0,1.0,0.3111572266,-0.6187133789,0.4024658203,0.5986328125
11826397.0,2968.0,0.0,-0.0078125,-0.0546875,-0.0234375,0
11833429.0,7032.0,1.0,0.3111572266,-0.6186523438,0.4024658203,0.5986938477
11836397.0,2968.0,0.0,-0.0078125,-0.09375,-0.0234375,0
11843429.0,7032.0,1.0,0.3112182617,-0.6186523438,0.4024658203,0.5987548828
11846397.0,2968.0,0.0,0.02734375,0.01953125,-0.0625,0
11852429.0,6032.0,1.0,0.3112182617,-0.6185913086,0.4024047852,0.598815918
11855397.0,2968.0,0.0,-0.0078125,0.02734375,-0.03125,0
11863429.0,8032.0,1.0,0.3112792969,-0.6185302734,0.4024047852,0.5988769531
11866397.0,2968.0,0.0,-0.0078125,-0.01171875,-0.03125,0
11873429.0,7032.0,1.0,0.3112792969,-0.6184692383,0.40234375,0.5989379883
11876397.0,2968.0,0.0,0.02734375,0.06640625,-0.03125,0
11883429.0,7032.0,1.0,0.311340332,-0.6184082031,0.40234375,0.5989379883
11886397.0,2968.0,0.0,-0.0078125,0.06640625,0.0078125,0
11892429.0,6032.0,1.0,0.311340332,-0.618347168,0.4022827148,0.5989990234
11895397.0,2968.0,0.0,0.02734375,0.10546875,0.046875,0
11903429.0,8032.0,1.0,0.3114013672,-0.618347168,0.4022827148,0.5990600586
11906397.0,2968.0,0.0,0.02734375,0.06640625,0.08203125,0
11913429.0,7032.0,1.0,0.3115234375,-0.6182250977,0.4022827148,0.5990600586
11916397.0,2968.0,0.0,0.02734375,0.25,0.07421875,0
11923429.0,7032.0,1.0,0.3115844727,-0.6181640625,0.40234375,0.5990600586
11926397.0,2968.0,0.0,0.02734375,-0.0546875,0.11328125,0
11932429.0,6032.0,1.0,0.3116455078,-0.6181030273,0.40234375,0.5991210938
11935397.0,2968.0,0.0,0.02734375,0.01953125,0.19140625,0
11943429.0,8032.0,1.0,0.311706543,-0.6180419922,0.40234375,0.5991210938
11946397.0,2968.0,0.0,0.02734375,0.09765625,0.15234375,0
11952429.0,6032.0,1.0,0.3117675781,-0.6180419922,0.40234375,0.5991210938
11955397.0,2968.0,0.0,0.01953125,-0.02734375,0.10546875,0
11963429.0,8032.0,1.0,0.3118286133,-0.6180419922,0.4024047852,0.5991210938
11966397.0,2968.0,0.0,-0.015625,0.08984375,0.22265625,0
11973429.0,7032.0,1.0,0.3118286133,-0.617980957,0.40234375,0.5991210938
11976397.0,2968.0,0.0,-0.015625,0.05859375,0.328125,0
11983429.0,7032.0,1.0,0.3118896484,-0.617980957,0.40234375,0.5991210938
11986397.0,2968.0,0.0,0.01953125,0.12890625,0.2421875,0
11992429.0,6032.0,1.0,0.3119506836,-0.617980957,0.40234375,0.5990600586
11995397.0,2968.0,0.0,0.01953125,0.05078125,0.16796875,0
12002429.0,7032.0,1.0,0.3120117188,-0.617980957,0.40234375,0.5990600586
12005397.0,2968.0,0.0,0.01953125,0.08984375,0.16796875,0
12013429.0,8032.0,1.0,0.3120117188,-0.6180419922,0.40234375,0.5989990234
12016397.0,2968.0,0.0,0.01953125,0.01171875,0.07421875,0
12023429.0,7032.0,1.0,0.3120727539,-0.6180419922,0.40234375,0.5989379883
12026397.0,2968.0,0.0,0.01953125,0.05078125,0.03515625,0
12033429.0,7032.0,1.0,0.3120727539,-0.6181030273,0.40234375,0.5988769531
12036397.0,2968.0,0.0,-0.015625,-0.02734375,-0.0390625,0
12043429.0,7032.0,1.0,0.3120727539,-0.6181640625,0.40234375,0.598815918
12047397.0,3968.0,0.0,0.01171875,-0.0703125,0.0,0
12053429.0,6032.0,1.0,0.3120727539,-0.6181640625,0.40234375,0.5987548828
12056397.0,2968.0,0.0,0.01953125,0.00390625,0.06640625,0
12063429.0,7032.0,1.0,0.3121337891,-0.6182250977,0.4024047852,0.5987548828
12066397.0,2968.0,0.0,-0.015625,-0.0703125,0.06640625,0
12073429.0,7032.0,1.0,0.3121948242,-0.6182250977,0.4024658203,0.5986938477
12076397.0,2968.0,0.0,0.01953125,-0.0625,-0.046875,0
12083429.0,7032.0,1.0,0.3121948242,-0.6182250977,0.4024658203,0.5986328125
12087397.0,3968.0,0.0,-0.015625,-0.1015625,-0.0859375,0
12093429.0,6032.0,1.0,0.3121948242,-0.6182861328,0.4025268555,0.5985107422
12096397.0,2968.0,0.0,-0.0234375,-0.1015625,-0.0859375,0
12103429.0,7032.0,1.0,0.3121948242,-0.618347168,0.4025268555,0.5985107422
12106397.0,2968.0,0.0,-0.0234375,0.01171875,-0.0078125,0
12113429.0,7032.0,1.0,0.3121948242,-0.618347168,0.4025268555,0.598449707
12116397.0,2968.0,0.0,-0.0234375,-0.02734375,0.06640625,0
12123429.0,7032.0,1.0,0.3121337891,-0.6184082031,0.4025878906,0.5983276367
12127397.0,3968.0,0.0,0.01171875,0.05078125,0.06640625,0
12133429.0,6032.0,1.0,0.3121948242,-0.6184692383,0.4026489258,0.5982666016
12136397.0,2968.0,0.0,-0.0234375,0.13671875,0.03515625,0
12142429.0,6032.0,1.0,0.3121948242,-0.6185302734,0.4027099609,0.5981445313
