time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
9768386.0,2968.0,0.0,-0.01171875,-0.078125,-0.05078125,0
9776418.0,8032.0,1.0,0.6381225586,-0.1922607422,0.7038574219,0.2458496094
9779386.0,2968.0,0.0,-0.01171875,-0.0859375,0.03515625,0
9785418.0,6032.0,1.0,0.6380615234,-0.1923217773,0.7038574219,0.2458496094
9788386.0,2968.0,0.0,0.02734375,-0.01171875,-0.00390625,0
9795418.0,7032.0,1.0,0.6380615234,-0.1923217773,0.703918457,0.2458496094
9798386.0,2968.0,0.0,-0.01171875,0.06640625,-0.00390625,0
9805418.0,7032.0,1.0,0.6380615234,-0.1923217773,0.703918457,0.2458496094
9808386.0,2968.0,0.0,-0.01171875,0.02734375,-0.00390625,0
9815418.0,7032.0,1.0,0.6380004883,-0.1923217773,0.703918457,0.2458496094
9818386.0,2968.0,0.0,-0.01171875,-0.01171875,-0.00390625,0
9825418.0,7032.0,1.0,0.6380004883,-0.1923217773,0.703918457,0.2458496094
9828386.0,2968.0,0.0,-0.01953125,-0.078125,-0.07421875,0
9836418.0,8032.0,1.0,0.6380004883,-0.1922607422,0.7039794922,0.2457885742
9839386.0,2968.0,0.0,-0.01953125,-0.04296875,-0.11328125,0
9845418.0,6032.0,1.0,0.6380004883,-0.1922607422,0.7039794922,0.2457885742
9848386.0,2968.0,0.0,-0.01953125,0.03515625,-0.03515625,0
9855418.0,7032.0,1.0,0.6379394531,-0.1922607422,0.7039794922,0.2457885742
9858386.0,2968.0,0.0,-0.01953125,0.02734375,0.05078125,0
9865418.0,7032.0,1.0,0.6379394531,-0.1922607422,0.7040405273,0.2457885742
9868386.0,2968.0,0.0,-0.01953125,-0.01171875,0.01171875,0
9876418.0,8032.0,1.0,0.6379394531,-0.1922607422,0.7040405273,0.2457275391
9879386.0,2968.0,0.0,0.01953125,0.02734375,0.01171875,0
9885418.0,6032.0,1.0,0.6379394531,-0.1922607422,0.7040405273,0.2457275391
9888386.0,2968.0,0.0,-0.01953125,-0.01171875,-0.06640625,0
9895418.0,7032.0,1.0,0.6379394531,-0.1922607422,0.7040405273,0.2457885742
9898386.0,2968.0,0.0,0.01953125,0.02734375,-0.02734375,0
9905418.0,7032.0,1.0,0.6379394531,-0.1922607422,0.7040405273,0.2457885742
9908386.0,2968.0,0.0,-0.01953125,0.03515625,0.05078125,0
9916418.0,8032.0,1.0,0.6379394531,-0.1922607422,0.7040405273,0.2457275391
9919386.0,2968.0,0.0,-0.01953125,0.03515625,0.05078125,0
