time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
31701386.0,2968.0,0.0,-0.0703125,-0.15625,-0.33203125,0
31708418.0,7032.0,1.0,0.66796875,0.2017211914,0.7066650391,-0.1173095703
31711386.0,2968.0,0.0,-0.0703125,-0.07421875,-0.6015625,0
31718418.0,7032.0,1.0,0.6679077148,0.2016601563,0.7067260742,-0.1173095703
31721386.0,2968.0,0.0,-0.109375,-0.5703125,-0.67578125,0
31728418.0,7032.0,1.0,0.6679077148,0.2017822266,0.7067260742,-0.1173706055
31731386.0,2968.0,0.0,-0.0703125,-1.03125,-0.40625,0
31738418.0,7032.0,1.0,0.6678466797,0.2020874023,0.7066040039,-0.1176147461
31741386.0,2968.0,0.0,-0.1484375,-0.578125,-0.67578125,0
31748418.0,7032.0,1.0,0.6678466797,0.2025146484,0.7064208984,-0.117980957
31751386.0,2968.0,0.0,-0.0625,-0.45703125,-0.40625,0
31758418.0,7032.0,1.0,0.6678466797,0.203125,0.7061767578,-0.1185302734
31761386.0,2968.0,0.0,-0.0625,-0.2265625,-0.21484375,0
31768418.0,7032.0,1.0,0.6677856445,0.203918457,0.705871582,-0.1192626953
31771386.0,2968.0,0.0,-0.02734375,-0.42578125,-0.0625,0
31778418.0,7032.0,1.0,0.6677246094,0.2047729492,0.7055664063,-0.1200561523
31781386.0,2968.0,0.0,-0.1015625,0.07421875,0.3203125,0
31788418.0,7032.0,1.0,0.6676635742,0.2055053711,0.7052612305,-0.1207885742
31791386.0,2968.0,0.0,-0.02734375,0.37890625,0.16796875,0
31798418.0,7032.0,1.0,0.6676635742,0.2059326172,0.705078125,-0.1212158203
31801386.0,2968.0,0.0,0.01171875,0.49609375,0.234375,0
31808418.0,7032.0,1.0,0.6677246094,0.2061157227,0.7049560547,-0.1213378906
31811386.0,2968.0,0.0,0.01171875,0.53125,0.16015625,0
31818418.0,7032.0,1.0,0.6677856445,0.2061767578,0.7048950195,-0.1212768555
31821386.0,2968.0,0.0,0.01171875,0.33984375,0.08203125,0
31828418.0,7032.0,1.0,0.6678466797,0.2061767578,0.7048339844,-0.1212158203
31831386.0,2968.0,0.0,-0.02734375,-0.00390625,0.08203125,0
31838418.0,7032.0,1.0,0.6678466797,0.2062988281,0.7047729492,-0.1213378906
31841386.0,2968.0,0.0,-0.0625,-0.28125,0.1953125,0
31848418.0,7032.0,1.0,0.6678466797,0.2066040039,0.7046508789,-0.1215820313
31851386.0,2968.0,0.0,-0.0625,-0.05078125,0.16015625,0
31858418.0,7032.0,1.0,0.6677856445,0.2070922852,0.7044677734,-0.1220092773
31861386.0,2968.0,0.0,-0.02734375,0.02734375,0.11328125,0
31868418.0,7032.0,1.0,0.6676635742,0.2077026367,0.704284668,-0.1226196289
31871386.0,2968.0,0.0,0.01171875,0.265625,0.34375,0
31877418.0,6032.0,1.0,0.6675415039,0.2083740234,0.7041015625,-0.1232910156
31880386.0,2968.0,0.0,0.01171875,0.5703125,0.2265625,0
31888418.0,8032.0,1.0,0.6674194336,0.208984375,0.703918457,-0.1239013672
31891386.0,2968.0,0.0,0.05078125,0.5703125,-0.078125,0
31898418.0,7032.0,1.0,0.6672973633,0.2094116211,0.7038574219,-0.1243896484
31901386.0,2968.0,0.0,-0.02734375,0.33984375,0.07421875,0
31908418.0,7032.0,1.0,0.6672363281,0.2096557617,0.7037963867,-0.1246948242
31911386.0,2968.0,0.0,-0.02734375,0.1875,0.34375,0
31918418.0,7032.0,1.0,0.667175293,0.209777832,0.7037353516,-0.1248779297
31921386.0,2968.0,0.0,0.01171875,0.33984375,0.265625,0
31928418.0,7032.0,1.0,0.6671142578,0.209777832,0.7037963867,-0.1248779297
31931386.0,2968.0,0.0,0.01171875,0.265625,0.12109375,0
31938418.0,7032.0,1.0,0.6671142578,0.2097167969,0.7038574219,-0.1248168945
31941386.0,2968.0,0.0,-0.02734375,0.109375,0.16015625,0
31948418.0,7032.0,1.0,0.6669921875,0.2097167969,0.703918457,-0.1248779297
31951386.0,2968.0,0.0,-0.02734375,0.109375,0.234375,0
31958418.0,7032.0,1.0,0.6669311523,0.209777832,0.7039794922,-0.1249389648
31961386.0,2968.0,0.0,0.01171875,0.1875,0.00390625,0
31968418.0,7032.0,1.0,0.666809082,0.2098388672,0.7040405273,-0.1251220703
31972386.0,3968.0,0.0,-0.02734375,0.08203125,-0.0625,0
31978418.0,6032.0,1.0,0.6666870117,0.2100830078,0.7040405273,-0.1253662109
31981386.0,2968.0,0.0,-0.02734375,-0.1484375,-0.0703125,0
31988418.0,7032.0,1.0,0.6665649414,0.2103271484,0.7040405273,-0.1257324219
31991386.0,2968.0,0.0,-0.0625,-0.07421875,0.05078125,0
31998418.0,7032.0,1.0,0.6663818359,0.2107543945,0.7039794922,-0.126159668
32001386.0,2968.0,0.0,-0.02734375,0.1171875,0.05078125,0
32008418.0,7032.0,1.0,0.6661987305,0.2111206055,0.703918457,-0.1266479492
32012386.0,3968.0,0.0,-0.02734375,0.234375,0.16796875,0
32018418.0,6032.0,1.0,0.6660766602,0.2114868164,0.703918457,-0.1271362305
32021386.0,2968.0,0.0,0.01171875,0.2421875,0.2421875,0
32028418.0,7032.0,1.0,0.6659545898,0.211730957,0.703918457,-0.1274414063
32031386.0,2968.0,0.0,0.01171875,0.2421875,0.05859375,0
32038418.0,7032.0,1.0,0.6657714844,0.2118530273,0.703918457,-0.1276855469
32041386.0,2968.0,0.0,-0.02734375,0.01171875,-0.0546875,0
32048418.0,7032.0,1.0,0.6656494141,0.2119750977,0.7040405273,-0.1278686523
32052386.0,3968.0,0.0,-0.02734375,-0.05859375,-0.09375,0
32058418.0,6032.0,1.0,0.6655273438,0.212097168,0.7040405273,-0.128112793
32061386.0,2968.0,0.0,-0.02734375,-0.1328125,-0.0546875,0
32068418.0,7032.0,1.0,0.6653442383,0.2122802734,0.7041015625,-0.1283569336
32071386.0,2968.0,0.0,-0.0625,-0.171875,-0.046875,0
32078418.0,7032.0,1.0,0.665222168,0.2125244141,0.7041015625,-0.1287231445
32081386.0,2968.0,0.0,-0.0625,-0.171875,-0.046875,0
32088418.0,7032.0,1.0,0.6651000977,0.2127685547,0.7041015625,-0.1290283203
32091386.0,2968.0,0.0,-0.0625,-0.09375,-0.0390625,0
32098418.0,7032.0,1.0,0.6649169922,0.2129516602,0.7041625977,-0.1292724609
32101386.0,2968.0,0.0,-0.02734375,0.02734375,0.0,0
32108418.0,7032.0,1.0,0.6647949219,0.2130737305,0.7041625977,-0.1294555664
32111386.0,2968.0,0.0,-0.02734375,0.02734375,0.07421875,0
32118418.0,7032.0,1.0,0.6646728516,0.2131347656,0.7042236328,-0.1295776367
32121386.0,2968.0,0.0,-0.02734375,0.1796875,0.11328125,0
32128418.0,7032.0,1.0,0.6645507813,0.2132568359,0.7043457031,-0.129699707
32131386.0,2968.0,0.0,0.01171875,0.10546875,0.0,0
32138418.0,7032.0,1.0,0.6644287109,0.2133178711,0.7044067383,-0.1298217773
32141386.0,2968.0,0.0,-0.02734375,0.03515625,-0.03125,0
32148418.0,7032.0,1.0,0.6643066406,0.2133789063,0.7044677734,-0.1300048828
32151386.0,2968.0,0.0,-0.02734375,0.07421875,0.04296875,0
32158418.0,7032.0,1.0,0.6641845703,0.2135009766,0.7045288086,-0.1301269531
32161386.0,2968.0,0.0,-0.0625,0.11328125,0.04296875,0
32168418.0,7032.0,1.0,0.6641235352,0.2135620117,0.7045898438,-0.1302490234
32171386.0,2968.0,0.0,-0.02734375,0.11328125,0.12890625,0
32178418.0,7032.0,1.0,0.6640014648,0.2135009766,0.7046508789,-0.1303100586
32181386.0,2968.0,0.0,-0.01953125,0.1484375,0.05859375,0
32188418.0,7032.0,1.0,0.6638793945,0.2134399414,0.7047729492,-0.1303100586
32191386.0,2968.0,0.0,-0.01953125,0.08203125,0.0234375,0
32198418.0,7032.0,1.0,0.6638183594,0.2133789063,0.7048950195,-0.1303100586
32201386.0,2968.0,0.0,-0.01953125,0.00390625,-0.015625,0
32209418.0,8032.0,1.0,0.6636962891,0.2132568359,0.7050170898,-0.1303100586
32212386.0,2968.0,0.0,-0.01953125,0.00390625,-0.015625,0
32218418.0,6032.0,1.0,0.6635742188,0.2131958008,0.7051391602,-0.1303100586
32221386.0,2968.0,0.0,-0.01953125,0.08203125,0.06640625,0
32228418.0,7032.0,1.0,0.6634521484,0.2131347656,0.7052612305,-0.1303100586
32231386.0,2968.0,0.0,-0.01953125,0.1640625,0.03125,0
32238418.0,7032.0,1.0,0.6633300781,0.2130737305,0.7054443359,-0.1303100586
32241386.0,2968.0,0.0,0.01953125,0.203125,-0.0078125,0
32249418.0,8032.0,1.0,0.6632080078,0.212890625,0.7056274414,-0.1301879883
32252386.0,2968.0,0.0,0.07421875,0.0546875,0.01171875,0
32258418.0,6032.0,1.0,0.6631469727,0.2126464844,0.7057495117,-0.1299438477
32261386.0,2968.0,0.0,-0.0390625,0.0546875,-0.01953125,0
32268418.0,7032.0,1.0,0.6631469727,0.2123413086,0.7059326172,-0.1295776367
32271386.0,2968.0,0.0,0.03515625,-0.01171875,-0.09375,0
32278418.0,7032.0,1.0,0.6631469727,0.2119750977,0.7061157227,-0.1292114258
32281386.0,2968.0,0.0,0.03515625,-0.05078125,-0.125,0
32288418.0,7032.0,1.0,0.6631469727,0.2116088867,0.7063598633,-0.1287841797
32291386.0,2968.0,0.0,-0.00390625,-0.01171875,-0.1640625,0
32298418.0,7032.0,1.0,0.6630859375,0.2113037109,0.7064819336,-0.1284790039
32301386.0,2968.0,0.0,-0.00390625,-0.12890625,-0.23046875,0
32308418.0,7032.0,1.0,0.6630249023,0.2110595703,0.7066650391,-0.1282348633
32311386.0,2968.0,0.0,-0.0390625,-0.1640625,-0.1171875,0
32318418.0,7032.0,1.0,0.6630249023,0.2108764648,0.7067871094,-0.1280517578
32321386.0,2968.0,0.0,-0.0390625,-0.28125,-0.109375,0
32329418.0,8032.0,1.0,0.6629638672,0.2108154297,0.7069091797,-0.1279907227
32332386.0,2968.0,0.0,-0.00390625,-0.38671875,-0.109375,0
32338418.0,6032.0,1.0,0.662902832,0.2107543945,0.7069702148,-0.1279907227
32341386.0,2968.0,0.0,-0.0390625,-0.234375,-0.03125,0
32348418.0,7032.0,1.0,0.6628417969,0.2107543945,0.70703125,-0.1279296875
32351386.0,2968.0,0.0,-0.0390625,-0.15625,0.00390625,0
32358418.0,7032.0,1.0,0.6627807617,0.2106933594,0.7070922852,-0.1279296875
32361386.0,2968.0,0.0,-0.00390625,-0.12109375,-0.1015625,0
