time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
10425419.0,7032.0,1.0,0.3587036133,-0.5792236328,0.4359741211,0.58795110428387,2968.0,0.0,0.00390625,0.06640625,-0.06640625
10435419.0,7032.0,1.0,0.3587036133,-0.5792236328,0.4360351563,0.5879516602
10439387.0,3968.0,0.0,0.00390625,0.06640625,-0.06640625,0
10445419.0,6032.0,1.0,0.3587036133,-0.5792236328,0.4360351563,0.5879516602
10448387.0,2968.0,0.0,0.00390625,0.06640625,-0.10546875,0
10455419.0,7032.0,1.0,0.3587036133,-0.5792236328,0.4360961914,0.587890625
10458387.0,2968.0,0.0,0.00390625,-0.01171875,-0.10546875,0
10465419.0,7032.0,1.0,0.3587036133,-0.579284668,0.4360961914,0.587890625
10468387.0,2968.0,0.0,0.00390625,0.02734375,-0.03125,0
10475419.0,7032.0,1.0,0.3587036133,-0.579284668,0.4360961914,0.587890625
10479387.0,3968.0,0.0,0.01171875,-0.01171875,0.0546875,0
10485419.0,6032.0,1.0,0.3586425781,-0.579284668,0.4360961914,0.587890625
10488387.0,2968.0,0.0,-0.0234375,-0.125,0.0546875,0
10495419.0,7032.0,1.0,0.3586425781,-0.579284668,0.4360961914,0.587890625
10498387.0,2968.0,0.0,0.01171875,-0.0859375,-0.0234375,0
10505419.0,7032.0,1.0,0.3586425781,-0.579284668,0.4360961914,0.587890625
10508387.0,2968.0,0.0,-0.0234375,-0.01171875,0.0546875,0
10515419.0,7032.0,1.0,0.358581543,-0.579284668,0.4360961914,0.5879516602
10519387.0,3968.0,0.0,0.01171875,-0.01171875,0.0546875,0
10525419.0,6032.0,1.0,0.358581543,-0.5792236328,0.4361572266,0.5879516602
10528387.0,2968.0,0.0,0.01171875,0.02734375,0.0546875,0
10535419.0,7032.0,1.0,0.358581543,-0.5792236328,0.4361572266,0.5879516602
10538387.0,2968.0,0.0,0.00390625,0.06640625,0.0078125,0
10545419.0,7032.0,1.0,0.358581543,-0.5792236328,0.4360961914,0.5879516602
10548387.0,2968.0,0.0,0.00390625,-0.01953125,-0.03125,0
10555419.0,7032.0,1.0,0.3585205078,-0.5792236328,0.4360961914,0.5880126953
10558387.0,2968.0,0.0,0.01171875,-0.01953125,-0.06640625,0
10565419.0,7032.0,1.0,0.3585205078,-0.5792236328,0.4361572266,0.5880126953
10568387.0,2968.0,0.0,-0.0234375,-0.01953125,-0.03125,0
10574419.0,6032.0,1.0,0.3584594727,-0.5792236328,0.4361572266,0.5880126953
10577387.0,2968.0,0.0,-0.0234375,-0.0546875,0.0078125,0
10585419.0,8032.0,1.0,0.3583984375,-0.5792236328,0.4361572266,0.5880737305
10588387.0,2968.0,0.0,-0.0234375,-0.0859375,-0.03125,0
10595419.0,7032.0,1.0,0.3583984375,-0.5792236328,0.4361572266,0.5880737305
10599387.0,3968.0,0.0,-0.0234375,0.02734375,0.0390625,0
10605419.0,6032.0,1.0,0.3583984375,-0.5791625977,0.4361572266,0.5881347656
10608387.0,2968.0,0.0,0.01171875,-0.01171875,0.1171875,0
10615419.0,7032.0,1.0,0.3583984375,-0.5791625977,0.4362182617,0.5881347656
10618387.0,2968.0,0.0,0.01171875,0.02734375,0.15234375,0
10625419.0,7032.0,1.0,0.3583984375,-0.5791015625,0.4362182617,0.5881347656
10628387.0,2968.0,0.0,0.00390625,0.05859375,0.14453125,0
10635419.0,7032.0,1.0,0.3583984375,-0.5790405273,0.4362792969,0.5881347656
10638387.0,2968.0,0.0,0.01171875,0.13671875,0.109375,0
10645419.0,7032.0,1.0,0.3583984375,-0.5790405273,0.4362792969,0.5881347656
10648387.0,2968.0,0.0,0.00390625,0.171875,0.03125,0
10655419.0,7032.0,1.0,0.3583984375,-0.5790405273,0.436340332,0.5881347656
10658387.0,2968.0,0.0,0.00390625,0.05859375,0.03125,0
10665419.0,7032.0,1.0,0.3583984375,-0.5789794922,0.4362792969,0.5881347656
10668387.0,2968.0,0.0,0.00390625,0.05859375,0.0234375,0
10675419.0,7032.0,1.0,0.3583984375,-0.5789794922,0.4362792969,0.5881958008
10678387.0,2968.0,0.0,-0.03125,0.01171875,-0.015625,0
10685419.0,7032.0,1.0,0.3583984375,-0.5789794922,0.4362792969,0.5881958008
10688387.0,2968.0,0.0,-0.0234375,-0.02734375,0.0625,0
10695419.0,7032.0,1.0,0.3583984375,-0.5789794922,0.4362792969,0.5881958008
10698387.0,2968.0,0.0,0.01171875,-0.02734375,0.13671875,0
10705419.0,7032.0,1.0,0.3584594727,-0.578918457,0.4362792969,0.5882568359
10708387.0,2968.0,0.0,0.00390625,0.08203125,0.20703125,0
10715419.0,7032.0,1.0,0.3584594727,-0.578918457,0.4362792969,0.5882568359
10718387.0,2968.0,0.0,0.00390625,0.12109375,0.24609375,0
10725419.0,7032.0,1.0,0.3584594727,-0.578918457,0.4362792969,0.5882568359
10728387.0,2968.0,0.0,0.01171875,0.04296875,0.12109375,0
10735419.0,7032.0,1.0,0.3584594727,-0.578918457,0.4362792969,0.5882568359
10738387.0,2968.0,0.0,0.01171875,0.00390625,0.078125,0
10745419.0,7032.0,1.0,0.3584594727,-0.5788574219,0.4362792969,0.5882568359
10748387.0,2968.0,0.0,0.00390625,0.00390625,0.03125,0
10755419.0,7032.0,1.0,0.3584594727,-0.5788574219,0.4362792969,0.5882568359
10758387.0,2968.0,0.0,-0.03125,0.08203125,-0.046875,0
10764419.0,6032.0,1.0,0.3584594727,-0.5788574219,0.4362792969,0.5882568359
10767387.0,2968.0,0.0,0.00390625,0.00390625,0.03125,0
10775419.0,8032.0,1.0,0.3585205078,-0.578918457,0.4362792969,0.5882568359
10778387.0,2968.0,0.0,-0.0234375,-0.00390625,-0.015625,0
10785419.0,7032.0,1.0,0.3585205078,-0.578918457,0.4362792969,0.5882568359
10788387.0,2968.0,0.0,-0.0234375,0.03515625,-0.015625,0
10795419.0,7032.0,1.0,0.3585205078,-0.578918457,0.4362182617,0.5882568359
