time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
36701397.0,2968.0,0.0,-0.0546875,-0.8828125,-0.44140625,0
36707429.0,6032.0,1.0,0.6455688477,0.2597045898,0.6954345703,-0.1795654297
36710397.0,2968.0,0.0,-0.0546875,-0.22265625,-0.703125,0
36718429.0,8032.0,1.0,0.6449584961,0.2614135742,0.6948242188,-0.1814575195
36722397.0,3968.0,0.0,-0.01953125,0.12109375,-0.81640625,0
36728429.0,6032.0,1.0,0.6445922852,0.2627563477,0.6942749023,-0.1829223633
36731397.0,2968.0,0.0,-0.01171875,0.28125,-0.77734375,0
36737429.0,6032.0,1.0,0.6444702148,0.2634887695,0.6938476563,-0.1837768555
36740397.0,2968.0,0.0,-0.01953125,0.43359375,-0.203125,0
36748429.0,8032.0,1.0,0.6445922852,0.2638549805,0.6934814453,-0.1842651367
36751397.0,2968.0,0.0,0.01953125,0.2890625,0.1328125,0
36758429.0,7032.0,1.0,0.6447753906,0.2638549805,0.6932373047,-0.184387207
36762397.0,3968.0,0.0,0.01953125,0.09765625,0.2421875,0
36768429.0,6032.0,1.0,0.6450805664,0.2637329102,0.6930541992,-0.1843261719
36771397.0,2968.0,0.0,0.02734375,-0.21484375,0.43359375,0
36778429.0,7032.0,1.0,0.645324707,0.2636108398,0.6928710938,-0.1843261719
36781397.0,2968.0,0.0,-0.01171875,-0.3671875,0.4609375,0
36788429.0,7032.0,1.0,0.6454467773,0.263671875,0.6926879883,-0.184387207
36791397.0,2968.0,0.0,0.02734375,-0.25390625,0.33984375,0
36798429.0,7032.0,1.0,0.6456298828,0.2637329102,0.6925048828,-0.1845092773
36802397.0,3968.0,0.0,0.02734375,-0.17578125,0.1875,0
36808429.0,6032.0,1.0,0.6457519531,0.2637939453,0.6923217773,-0.1845703125
36811397.0,2968.0,0.0,-0.01171875,-0.109375,0.140625,0
36818429.0,7032.0,1.0,0.6459350586,0.2639160156,0.6921386719,-0.1846923828
36821397.0,2968.0,0.0,-0.01171875,-0.1015625,0.0546875,0
36828429.0,7032.0,1.0,0.6460571289,0.2639770508,0.6918945313,-0.1848144531
36831397.0,2968.0,0.0,-0.01171875,-0.18359375,0.0546875,0
36838429.0,7032.0,1.0,0.6462402344,0.2640380859,0.6917114258,-0.1848754883
36841397.0,2968.0,0.0,0.02734375,-0.22265625,0.046875,0
36848429.0,7032.0,1.0,0.6464233398,0.2640991211,0.6915283203,-0.1849365234
36851397.0,2968.0,0.0,-0.00390625,-0.23046875,0.078125,0
36858429.0,7032.0,1.0,0.6466064453,0.2640991211,0.6913452148,-0.1849365234
36861397.0,2968.0,0.0,0.03515625,-0.23046875,0.078125,0
36868429.0,7032.0,1.0,0.6467895508,0.2641601563,0.6911010742,-0.1849365234
36871397.0,2968.0,0.0,-0.00390625,-0.30859375,0.0703125,0
36878429.0,7032.0,1.0,0.6470336914,0.2642211914,0.6909179688,-0.1849365234
36881397.0,2968.0,0.0,-0.00390625,-0.30859375,0.0625,0
36888429.0,7032.0,1.0,0.6472167969,0.2642822266,0.6906738281,-0.1849975586
36891397.0,2968.0,0.0,0.02734375,-0.35546875,0.09375,0
36898429.0,7032.0,1.0,0.6474609375,0.2643432617,0.6904907227,-0.1849365234
36901397.0,2968.0,0.0,-0.01171875,-0.35546875,0.0859375,0
36908429.0,7032.0,1.0,0.647644043,0.2644042969,0.690246582,-0.1849365234
36911397.0,2968.0,0.0,0.03515625,-0.32421875,0.125,0
36918429.0,7032.0,1.0,0.6478271484,0.2645263672,0.6900024414,-0.1849975586
36921397.0,2968.0,0.0,0.02734375,-0.28515625,0.125,0
36927429.0,6032.0,1.0,0.6480102539,0.2646484375,0.6898193359,-0.1849975586
36930397.0,2968.0,0.0,0.02734375,-0.24609375,0.1171875,0
36938429.0,8032.0,1.0,0.6481933594,0.264831543,0.6895751953,-0.1850585938
36941397.0,2968.0,0.0,0.02734375,-0.21484375,0.1171875,0
36948429.0,7032.0,1.0,0.6483154297,0.2650756836,0.6892700195,-0.1851196289
36951397.0,2968.0,0.0,-0.01171875,-0.25390625,0.0703125,0
36958429.0,7032.0,1.0,0.6484985352,0.2653198242,0.6890258789,-0.1851806641
36961397.0,2968.0,0.0,0.02734375,-0.21484375,0.0625,0
36968429.0,7032.0,1.0,0.6486206055,0.2655639648,0.6887817383,-0.1853027344
36971397.0,2968.0,0.0,-0.01171875,-0.1875,0.140625,0
36978429.0,7032.0,1.0,0.6488037109,0.2658081055,0.6885375977,-0.1854248047
36982397.0,3968.0,0.0,-0.01171875,-0.1875,0.24609375,0
36988429.0,6032.0,1.0,0.6489257813,0.2660522461,0.6882324219,-0.1854858398
36991397.0,2968.0,0.0,0.02734375,-0.15625,0.31640625,0
36998429.0,7032.0,1.0,0.6490478516,0.2662963867,0.6879882813,-0.185546875
37001397.0,2968.0,0.0,0.02734375,-0.15625,0.390625,0
37008429.0,7032.0,1.0,0.6491699219,0.2666015625,0.6878051758,-0.1856079102
37011397.0,2968.0,0.0,-0.01171875,-0.0859375,0.3828125,0
37018429.0,7032.0,1.0,0.649230957,0.2669067383,0.6875610352,-0.1857299805
37022397.0,3968.0,0.0,0.02734375,0.02734375,0.421875,0
37028429.0,6032.0,1.0,0.6493530273,0.2672119141,0.6873168945,-0.1857910156
37031397.0,2968.0,0.0,0.02734375,0.06640625,0.453125,0
37038429.0,7032.0,1.0,0.6493530273,0.267578125,0.6871337891,-0.1859130859
37041397.0,2968.0,0.0,-0.01171875,0.09765625,0.4921875,0
37048429.0,7032.0,1.0,0.6493530273,0.2679443359,0.6869506836,-0.1860961914
37051397.0,2968.0,0.0,-0.01171875,0.09765625,0.4140625,0
37058429.0,7032.0,1.0,0.6494140625,0.2681884766,0.6867675781,-0.1860961914
37062397.0,3968.0,0.0,-0.046875,1.20703125,0.0625,0
37068429.0,6032.0,1.0,0.6495361328,0.2682495117,0.686706543,-0.1859741211
37071397.0,2968.0,0.0,-0.046875,0.3125,0.0703125,0
37078429.0,7032.0,1.0,0.649597168,0.268371582,0.6865844727,-0.1859741211
37081397.0,2968.0,0.0,-0.046875,0.92578125,0.25390625,0
37088429.0,7032.0,1.0,0.6496582031,0.268371582,0.6865234375,-0.1859130859
37091397.0,2968.0,0.0,0.07421875,1.1171875,0.3671875,0
37098429.0,7032.0,1.0,0.6497192383,0.2683105469,0.6865234375,-0.1859741211
37102397.0,3968.0,0.0,-0.00390625,0.234375,0.55859375,0
37108429.0,6032.0,1.0,0.6497192383,0.2683105469,0.6865234375,-0.1859741211
37111397.0,2968.0,0.0,-0.00390625,0.08203125,0.4375,0
37117429.0,6032.0,1.0,0.6497192383,0.268371582,0.6864624023,-0.1860961914
37120397.0,2968.0,0.0,0.03515625,-0.02734375,0.24609375,0
37128429.0,8032.0,1.0,0.6496582031,0.2684326172,0.6864624023,-0.1862182617
37131397.0,2968.0,0.0,-0.00390625,0.05078125,0.1015625,0
37138429.0,7032.0,1.0,0.649597168,0.2684936523,0.6864624023,-0.1862792969
37142397.0,3968.0,0.0,-0.00390625,0.08984375,0.015625,0
37148429.0,6032.0,1.0,0.649597168,0.2684936523,0.6864624023,-0.1862792969
37151397.0,2968.0,0.0,-0.00390625,-0.1015625,0.0546875,0
37158429.0,7032.0,1.0,0.649597168,0.2684326172,0.6864624023,-0.186340332
37161397.0,2968.0,0.0,0.03515625,-0.25390625,0.359375,0
37168429.0,7032.0,1.0,0.649597168,0.2684326172,0.6864624023,-0.186340332
37171397.0,2968.0,0.0,-0.00390625,-0.21875,0.3984375,0
37178429.0,7032.0,1.0,0.6495361328,0.2684936523,0.6865234375,-0.1862792969
