time_seconds,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z
0.02,-0.71,-0.95,-0.89,0.75,0.65,-0.08,-0.08
0.0399,1.76,-0.3,0.13,0.75,0.65,-0.08,-0.08
0.0588,3.92,1.04,1.46,0.74,0.66,-0.1,-0.08
0.08,2.76,-0.71,2.21,0.73,0.66,-0.12,-0.09
0.1128,2.25,-1.52,2.7,0.73,0.67,-0.14,-0.09
0.1299,1.51,-0.45,2.39,0.71,0.68,-0.16,-0.1
0.1499,0.89,-0.84,2.54,0.7,0.68,-0.17,-0.11
0.1799,1.2,-0.59,3.02,0.69,0.69,-0.19,-0.13
0.2001,1.81,-0.45,3.24,0.68,0.69,-0.2,-0.13
0.2236,1.62,-1.43,3.21,0.67,0.69,-0.21,-0.15
0.3009,0.63,-1.91,3.0,0.66,0.7,-0.22,-0.16
0.3198,0.56,-4.0,4.27,0.63,0.7,-0.27,-0.2
0.3429,0.04,-1.45,3.55,0.62,0.71,-0.27,-0.21
0.3699,0.32,0.37,4.05,0.61,0.7,-0.29,-0.22
0.39,0.61,-1.56,3.91,0.6,0.7,-0.3,-0.23
0.4228,1.56,-1.15,3.47,0.6,0.7,-0.3,-0.23
0.4398,0.55,-0.15,3.55,0.6,0.7,-0.31,-0.25
0.4599,-0.19,-0.6,3.02,0.6,0.69,-0.31,-0.25
0.49,-0.18,-0.99,2.39,0.6,0.69,-0.31,-0.26
0.51,-0.06,-1.02,2.21,0.6,0.69,-0.32,-0.26
0.53,0.34,-0.79,2.04,0.6,0.69,-0.32,-0.26
0.5647,1.36,-0.59,2.26,0.6,0.69,-0.32,-0.26
0.5798,5.05,-0.87,3.61,0.61,0.68,-0.31,-0.27
0.6028,6.25,-0.96,3.7,0.61,0.67,-0.31,-0.27
0.6199,5.98,-1.06,3.89,0.62,0.67,-0.3,-0.28
0.6399,5.87,-1.58,4.36,0.64,0.66,-0.29,-0.28
0.6598,5.73,-2.91,4.51,0.65,0.65,-0.28,-0.28
0.6798,4.95,-1.21,3.43,0.67,0.64,-0.26,-0.28
0.7019,3.84,-0.39,2.23,0.68,0.63,-0.25,-0.28
0.7198,1.61,-0.16,1.43,0.7,0.61,-0.24,-0.28
0.7457,0.37,-1.0,1.79,0.72,0.59,-0.23,-0.28
0.7599,-1.18,-2.18,0.55,0.74,0.58,-0.21,-0.27
0.7839,-1.37,-2.16,0.05,0.76,0.56,-0.2,-0.27
0.8,-2.12,-2.07,-0.18,0.77,0.55,-0.18,-0.26
0.8331,-2.8,-2.14,0.22,0.79,0.53,-0.17,-0.25
0.8509,-2.02,-1.25,-1.39,0.82,0.51,-0.14,-0.24
0.8709,-2.54,-1.33,-1.88,0.83,0.49,-0.12,-0.23
0.8948,-4.03,-0.15,-1.83,0.84,0.48,-0.11,-0.22
0.9099,-5.21,-0.56,-1.27,0.86,0.46,-0.1,-0.21
0.9299,-4.18,-0.78,-0.52,0.87,0.45,-0.08,-0.2
0.9499,-2.68,0.06,-0.89,0.88,0.44,-0.07,-0.19
0.9701,-3.95,-0.33,-1.24,0.89,0.43,-0.05,-0.18
1.0099,-5.68,0.18,-1.12,0.89,0.42,-0.04,-0.16
1.0299,-4.63,-0.2,-1.95,0.89,0.43,-0.02,-0.15
1.0502,-5.07,-0.07,-3.23,0.89,0.44,-0.01,-0.14
1.07,-4.34,0.03,-2.96,0.89,0.44,-0.01,-0.14
1.0911,-2.6,0.3,-3.03,0.89,0.44,-0.01,-0.14
1.1329,-0.21,-1.87,-3.01,0.88,0.45,-0.01,-0.13
1.151,-0.63,-1.8,-5.91,0.87,0.48,0.0,-0.13
1.1709,0.14,-0.88,-4.62,0.86,0.49,0.0,-0.12
1.1909,2.5,0.41,-4.71,0.86,0.51,-0.01,-0.11
1.21,3.78,-2.08,-5.74,0.85,0.52,-0.02,-0.1
1.2368,2.86,-2.32,-5.58,0.84,0.54,-0.01,-0.09
