time_seconds,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z
0.0203,0.5,-0.71,2.94,0.58,0.67,-0.34,-0.32
0.0405,-0.24,-0.97,3.33,0.58,0.67,-0.34,-0.32
0.0964,0.05,-0.63,3.26,0.58,0.67,-0.34,-0.32
0.1111,1.76,0.08,2.77,0.58,0.66,-0.34,-0.33
0.1301,1.66,-1.95,2.46,0.58,0.65,-0.35,-0.33
0.1834,1.99,-2.75,2.12,0.59,0.65,-0.35,-0.34
0.2001,2.8,-1.27,-1.19,0.6,0.65,-0.33,-0.34
0.2211,0.83,-1.61,3.19,0.61,0.65,-0.31,-0.33
0.2753,1.66,-0.82,2.5,0.62,0.65,-0.3,-0.33
0.2901,1.43,-0.86,2.55,0.65,0.64,-0.27,-0.32
0.3141,1.7,-1.65,2.41,0.66,0.63,-0.26,-0.32
0.3744,0.76,-0.96,2.2,0.67,0.63,-0.24,-0.32
0.3912,0.56,-0.7,1.21,0.71,0.6,-0.19,-0.31
0.4131,-0.09,-0.42,-0.15,0.73,0.59,-0.18,-0.31
0.4703,-0.82,0.35,-0.35,0.74,0.58,-0.16,-0.3
0.4816,-2.5,-1.67,-0.86,0.77,0.55,-0.14,-0.27
0.5064,-2.4,-2.57,-2.05,0.78,0.54,-0.13,-0.27
0.5654,-2.11,-1.45,-2.25,0.79,0.54,-0.11,-0.27
0.5814,-3.27,0.13,-1.21,0.81,0.53,-0.08,-0.25
0.6012,-3.55,-0.77,-1.15,0.81,0.52,-0.07,-0.25
0.6484,-0.27,0.55,-1.77,0.81,0.53,-0.07,-0.24
0.6611,-1.14,-1.3,-1.79,0.82,0.53,-0.07,-0.22
0.6835,-0.97,-1.08,-2.15,0.82,0.53,-0.07,-0.22
0.7324,-0.84,0.05,-1.96,0.82,0.53,-0.07,-0.21
0.7515,-1.47,-0.9,-2.19,0.82,0.54,-0.08,-0.18
0.7715,-1.53,-1.89,-2.55,0.82,0.55,-0.08,-0.18
0.7912,-0.98,-1.32,-2.91,0.81,0.55,-0.07,-0.18
0.8111,-0.63,0.92,-1.94,0.81,0.56,-0.07,-0.18
0.8311,0.53,1.11,-2.74,0.8,0.57,-0.07,-0.17
0.8844,1.44,0.46,-3.36,0.8,0.57,-0.07,-0.16
0.8931,-0.23,0.1,-3.47,0.79,0.59,-0.07,-0.16
0.9116,1.21,0.88,-3.68,0.78,0.59,-0.07,-0.16
0.9504,2.48,2.02,-3.64,0.78,0.6,-0.07,-0.16
0.9611,1.1,-0.86,-4.27,0.78,0.61,-0.09,-0.15
0.9816,1.32,-1.64,-4.34,0.77,0.61,-0.09,-0.14
1.0017,1.6,0.41,-4.18,0.77,0.62,-0.09,-0.15
1.0287,1.78,1.07,-3.53,0.76,0.62,-0.09,-0.15
1.0516,2.24,0.74,-4.22,0.76,0.63,-0.1,-0.14
1.0783,2.28,0.52,-4.34,0.76,0.63,-0.11,-0.14
1.1014,2.04,0.08,-4.33,0.75,0.63,-0.11,-0.14
1.1624,1.98,0.45,-4.09,0.75,0.63,-0.11,-0.15
1.1831,0.1,0.23,-2.98,0.74,0.64,-0.13,-0.15
1.2011,1.2,0.22,-2.66,0.74,0.64,-0.14,-0.16
1.2644,0.87,0.35,-2.3,0.73,0.65,-0.15,-0.16
1.2812,-0.07,0.16,-0.24,0.71,0.66,-0.18,-0.17
1.3012,0.64,-0.65,-0.52,0.7,0.67,-0.2,-0.17
1.3544,1.18,-1.41,0.11,0.69,0.67,-0.21,-0.18
1.371,0.92,-0.47,1.24,0.66,0.69,-0.23,-0.2
1.3911,2.28,-0.79,1.51,0.64,0.69,-0.24,-0.21
1.4524,2.8,-1.81,1.71,0.63,0.7,-0.25,-0.22
1.4732,1.87,-0.48,1.7,0.6,0.71,-0.27,-0.24
1.4911,1.82,-0.21,2.04,0.59,0.71,-0.28,-0.25
1.5114,0.5,-1.99,2.12,0.59,0.71,-0.29,-0.26
1.5784,-0.36,-2.9,2.48,0.58,0.71,-0.3,-0.27
1.6073,1.61,-0.92,2.46,0.55,0.72,-0.33,-0.28
1.6748,0.83,-2.48,2.9,0.54,0.72,-0.34,-0.29
1.6911,2.22,-1.51,3.3,0.53,0.72,-0.35,-0.29
1.7121,2.58,-1.19,3.44,0.53,0.72,-0.36,-0.29
1.7466,3.44,-1.41,4.16,0.53,0.71,-0.36,-0.29
1.7611,4.87,-1.56,5.07,0.53,0.71,-0.35,-0.29
1.7811,5.16,-1.71,5.95,0.54,0.71,-0.35,-0.3
1.811,5.6,-1.6,6.09,0.55,0.7,-0.35,-0.29
1.8311,5.08,-2.41,4.99,0.57,0.69,-0.34,-0.29
1.8541,3.69,-3.43,3.98,0.58,0.68,-0.33,-0.29
1.8711,3.46,-3.29,3.88,0.6,0.67,-0.32,-0.29
1.9363,2.52,-1.59,4.0,0.62,0.67,-0.3,-0.29
1.951,2.68,-1.49,0.39,0.67,0.64,-0.25,-0.27
1.972,2.62,-0.7,0.12,0.69,0.63,-0.23,-0.26
2.0283,-0.56,-1.48,1.0,0.71,0.62,-0.21,-0.25
2.0526,-0.06,0.11,-0.99,0.76,0.58,-0.16,-0.23
2.0954,-1.55,-0.9,-0.69,0.78,0.57,-0.14,-0.23
2.1121,-4.21,-1.57,-0.95,0.8,0.55,-0.12,-0.2
2.1321,-4.37,-0.93,-1.46,0.81,0.55,-0.1,-0.19
2.1874,-4.64,-1.03,-2.4,0.81,0.55,-0.09,-0.18
2.2021,-3.25,0.23,-3.29,0.82,0.55,-0.06,-0.16
2.2222,-4.18,-1.07,-3.49,0.82,0.55,-0.06,-0.16
2.2694,-4.46,-1.18,-3.62,0.81,0.56,-0.05,-0.15
2.282,-2.17,0.72,-4.97,0.8,0.58,-0.05,-0.14
2.302,-2.29,0.63,-4.93,0.79,0.59,-0.05,-0.14
2.3696,-2.48,0.1,-4.82,0.78,0.61,-0.05,-0.13
2.3826,-0.45,-0.95,-5.86,0.75,0.64,-0.06,-0.12
2.4025,-0.98,0.76,-5.33,0.74,0.65,-0.06,-0.13
2.4454,1.42,2.23,-5.48,0.73,0.66,-0.07,-0.12
2.4632,0.48,-0.57,-5.19,0.72,0.68,-0.08,-0.11
2.4834,0.09,0.23,-5.3,0.71,0.69,-0.09,-0.11
2.5284,1.81,0.51,-5.32,0.7,0.7,-0.09,-0.12
2.5421,2.7,-0.83,-5.33,0.69,0.71,-0.1,-0.11
2.5621,1.93,0.47,-5.42,0.69,0.71,-0.1,-0.11
2.5825,2.28,0.45,-5.61,0.69,0.71,-0.1,-0.11
2.6454,2.67,0.55,-5.6,0.69,0.71,-0.1,-0.11
2.662,0.25,0.05,-4.0,0.69,0.71,-0.11,-0.11
2.682,1.29,-0.3,-4.22,0.69,0.71,-0.12,-0.12
2.7433,1.14,0.3,-3.9,0.68,0.71,-0.12,-0.12
2.7624,1.24,0.42,-2.74,0.67,0.71,-0.15,-0.13
2.787,1.28,0.55,-2.07,0.67,0.72,-0.16,-0.13
2.8414,1.41,-0.8,-2.05,0.66,0.72,-0.18,-0.14
2.8519,1.41,-0.59,0.14,0.63,0.73,-0.21,-0.15
2.8728,2.41,0.12,1.78,0.62,0.73,-0.22,-0.16
2.9014,2.67,-2.21,3.12,0.62,0.74,-0.23,-0.17
2.914,0.58,-3.14,7.21,0.61,0.74,-0.23,-0.18
2.9323,2.76,-3.07,7.13,0.6,0.74,-0.23,-0.19
3.0074,7.46,-1.26,5.38,0.59,0.74,-0.24,-0.2
3.0221,1.07,-3.41,3.27,0.59,0.73,-0.26,-0.23
3.042,1.74,-2.62,3.39,0.59,0.72,-0.26,-0.24
3.1086,-1.39,-1.23,4.76,0.6,0.72,-0.26,-0.26
3.122,1.66,-0.15,1.53,0.59,0.71,-0.27,-0.27
3.1421,-0.65,0.27,2.59,0.59,0.71,-0.27,-0.27
3.2094,-0.62,-0.31,2.8,0.59,0.71,-0.27,-0.28
3.2326,3.64,-2.25,4.86,0.59,0.71,-0.27,-0.27
3.2634,4.2,-1.92,4.76,0.6,0.71,-0.27,-0.27
3.282,3.7,-1.62,4.52,0.61,0.7,-0.26,-0.27
3.302,4.88,-1.86,3.64,0.62,0.69,-0.25,-0.26
3.3226,3.04,-1.84,3.71,0.64,0.69,-0.24,-0.26
3.3514,1.82,-1.53,3.55,0.65,0.68,-0.23,-0.25
3.3728,1.87,-0.11,2.89,0.67,0.66,-0.21,-0.25
3.3955,2.71,-0.41,1.87,0.69,0.65,-0.2,-0.25
3.4125,1.28,-0.92,1.86,0.71,0.64,-0.19,-0.24
3.4676,0.52,-0.78,1.31,0.72,0.62,-0.18,-0.24
3.4835,-0.64,-1.43,-0.53,0.76,0.59,-0.16,-0.22
3.5022,-2.14,-1.5,0.29,0.77,0.58,-0.14,-0.22
3.5368,-2.37,-1.63,-0.68,0.79,0.57,-0.13,-0.21
3.5565,-4.11,0.41,-1.24,0.8,0.56,-0.11,-0.2
3.5735,-4.32,0.2,-1.47,0.81,0.55,-0.1,-0.19
3.5937,-4.07,-1.0,-1.89,0.81,0.55,-0.09,-0.18
3.6226,-3.37,-0.96,-2.78,0.82,0.55,-0.08,-0.17
3.6435,-3.49,-0.32,-2.96,0.82,0.55,-0.07,-0.16
3.6621,-3.73,-1.84,-3.65,0.82,0.55,-0.06,-0.15
3.6822,-2.45,-1.35,-4.4,0.82,0.56,-0.06,-0.14
3.7024,-0.13,0.84,-5.05,0.81,0.56,-0.05,-0.13
3.724,-0.93,1.0,-4.81,0.81,0.57,-0.05,-0.13
3.804,-2.89,-0.4,-4.64,0.81,0.58,-0.05,-0.12
3.8232,-0.13,-0.15,-6.41,0.78,0.62,-0.05,-0.11
3.8421,0.78,0.21,-6.55,0.77,0.63,-0.05,-0.11
3.9007,1.96,0.31,-6.28,0.76,0.64,-0.06,-0.11
3.9137,3.42,-0.51,-6.81,0.74,0.66,-0.06,-0.11
3.9334,2.68,0.91,-5.72,0.74,0.66,-0.06,-0.11
3.9763,2.12,1.2,-5.31,0.74,0.66,-0.07,-0.11
3.993,2.68,-0.3,-6.0,0.74,0.66,-0.09,-0.1
4.013,1.72,0.36,-5.01,0.74,0.66,-0.09,-0.1
4.0825,0.19,0.66,-4.37,0.74,0.66,-0.1,-0.1
4.1029,1.13,0.45,-2.56,0.72,0.67,-0.13,-0.11
4.128,0.36,-0.68,-2.22,0.72,0.67,-0.14,-0.11
4.1904,0.04,-1.47,-1.43,0.71,0.68,-0.15,-0.12
