time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
40018405.0,8017.0,1.0,0.81,-0.38,0.42,-0.14
40021388.0,2983.0,0.0,0.25,-0.28,-0.13,0
40027405.0,6017.0,1.0,0.81,-0.38,0.42,-0.15
40030388.0,2983.0,0.0,0.36,0.1,-0.64,0
40038405.0,8017.0,1.0,0.81,-0.38,0.42,-0.15
40041388.0,2983.0,0.0,0.77,-0.49,-0.26,0
40047405.0,6017.0,1.0,0.82,-0.38,0.41,-0.15
40050388.0,2983.0,0.0,1.02,-1.46,-0.18,0
40057405.0,7017.0,1.0,0.82,-0.38,0.41,-0.15
40060388.0,2983.0,0.0,0.88,-1.56,-0.22,0
40068405.0,8017.0,1.0,0.82,-0.38,0.41,-0.15
40071388.0,2983.0,0.0,0.71,-1.24,-0.13,0
40078405.0,7017.0,1.0,0.82,-0.38,0.41,-0.15
40081388.0,2983.0,0.0,0.62,-0.66,-0.18,0
40088405.0,7017.0,1.0,0.82,-0.38,0.4,-0.15
40091388.0,2983.0,0.0,0.41,0.12,-0.0,0
40098405.0,7017.0,1.0,0.82,-0.38,0.4,-0.16
40102388.0,3983.0,0.0,0.43,0.2,0.0,0
40108405.0,6017.0,1.0,0.82,-0.38,0.4,-0.16
40111388.0,2983.0,0.0,0.48,0.25,0.05,0
40118405.0,7017.0,1.0,0.82,-0.38,0.4,-0.16
40121388.0,2983.0,0.0,0.53,0.3,0.05,0
40128405.0,7017.0,1.0,0.82,-0.38,0.39,-0.16
40131388.0,2983.0,0.0,0.46,0.05,0.32,0
40138405.0,7017.0,1.0,0.82,-0.38,0.39,-0.16
40141388.0,2983.0,0.0,0.56,0.27,0.54,0
40148405.0,7017.0,1.0,0.82,-0.39,0.38,-0.16
40151388.0,2983.0,0.0,0.7,0.27,0.18,0
40158405.0,7017.0,1.0,0.82,-0.39,0.38,-0.16
40161388.0,2983.0,0.0,0.79,-0.23,0.7,0
40168405.0,7017.0,1.0,0.83,-0.39,0.37,-0.16
40171388.0,2983.0,0.0,0.84,-0.35,0.26,0
40178405.0,7017.0,1.0,0.83,-0.39,0.37,-0.16
40182388.0,3983.0,0.0,0.73,-0.54,-0.49,0
40189405.0,7017.0,1.0,0.83,-0.39,0.37,-0.16
40192388.0,2983.0,0.0,1.01,-0.74,0.12,0
40202405.0,10017.0,1.0,0.83,-0.39,0.36,-0.16
40205388.0,2983.0,0.0,0.98,-0.98,-0.31,0
40209405.0,4017.0,1.0,0.83,-0.39,0.36,-0.16
40212388.0,2983.0,0.0,1.03,-0.61,-0.36,0
40218405.0,6017.0,1.0,0.83,-0.39,0.35,-0.16
40222388.0,3983.0,0.0,0.93,-0.65,-0.76,0
40228405.0,6017.0,1.0,0.84,-0.39,0.35,-0.16
40231388.0,2983.0,0.0,0.66,-0.67,-0.45,0
40237405.0,6017.0,1.0,0.84,-0.39,0.35,-0.16
40240388.0,2983.0,0.0,0.41,-1.07,-0.38,0
40248405.0,8017.0,1.0,0.84,-0.39,0.34,-0.17
40251388.0,2983.0,0.0,0.07,-0.78,-0.79,0
40258405.0,7017.0,1.0,0.84,-0.39,0.34,-0.17
40261388.0,2983.0,0.0,-0.08,-0.75,-0.88,0
40268405.0,7017.0,1.0,0.84,-0.39,0.34,-0.17
40271388.0,2983.0,0.0,-0.03,-0.89,-1.1,0
40278405.0,7017.0,1.0,0.84,-0.39,0.33,-0.17
40281388.0,2983.0,0.0,-0.45,-0.27,-0.86,0
40288405.0,7017.0,1.0,0.84,-0.39,0.33,-0.17
40291388.0,2983.0,0.0,-0.41,0.02,-0.75,0
40298405.0,7017.0,1.0,0.84,-0.39,0.33,-0.17
40301388.0,2983.0,0.0,-0.52,-0.2,-1.17,0
40308405.0,7017.0,1.0,0.84,-0.39,0.32,-0.17
40311388.0,2983.0,0.0,-0.41,-0.57,-1.25,0
40318405.0,7017.0,1.0,0.84,-0.39,0.32,-0.17
40321388.0,2983.0,0.0,-0.36,-0.58,-1.28,0
40328405.0,7017.0,1.0,0.84,-0.39,0.32,-0.17
40331388.0,2983.0,0.0,-0.35,-0.75,-1.01,0
40338405.0,7017.0,1.0,0.85,-0.39,0.31,-0.17
40341388.0,2983.0,0.0,-0.51,-0.85,-1.23,0
40348405.0,7017.0,1.0,0.85,-0.39,0.31,-0.18
40351388.0,2983.0,0.0,-0.54,-0.91,-0.85,0
40358405.0,7017.0,1.0,0.85,-0.39,0.31,-0.18
40361388.0,2983.0,0.0,-0.47,-0.81,-0.73,0
40368405.0,7017.0,1.0,0.85,-0.39,0.31,-0.18
40371388.0,2983.0,0.0,-0.47,-0.68,-0.62,0
40378405.0,7017.0,1.0,0.85,-0.39,0.3,-0.18
40381388.0,2983.0,0.0,-0.39,-0.66,-0.5,0
40388405.0,7017.0,1.0,0.85,-0.39,0.3,-0.18
40391388.0,2983.0,0.0,-0.12,-0.99,-0.34,0
40398405.0,7017.0,1.0,0.85,-0.39,0.3,-0.18
40401388.0,2983.0,0.0,0.56,-2.18,-0.78,0
40408405.0,7017.0,1.0,0.85,-0.39,0.3,-0.19
40411388.0,2983.0,0.0,-0.13,5.91,2.42,0
40418405.0,7017.0,1.0,0.85,-0.39,0.3,-0.19
40421388.0,2983.0,0.0,0.78,-5.32,0.79,0
40427405.0,6017.0,1.0,0.85,-0.39,0.3,-0.19
40430388.0,2983.0,0.0,0.31,0.77,0.49,0
40438405.0,8017.0,1.0,0.85,-0.39,0.29,-0.19
40441388.0,2983.0,0.0,0.81,-2.33,-0.04,0
40448405.0,7017.0,1.0,0.85,-0.39,0.29,-0.19
40451388.0,2983.0,0.0,0.41,-1.93,-0.67,0
40458405.0,7017.0,1.0,0.85,-0.39,0.29,-0.19
40461388.0,2983.0,0.0,0.25,-0.79,-0.15,0
40467405.0,6017.0,1.0,0.85,-0.39,0.29,-0.19
40470388.0,2983.0,0.0,0.25,-0.69,0.02,0
40478405.0,8017.0,1.0,0.85,-0.39,0.29,-0.19
40481388.0,2983.0,0.0,0.21,-0.62,0.05,0
40488405.0,7017.0,1.0,0.85,-0.39,0.29,-0.19
40491388.0,2983.0,0.0,0.21,-0.64,-0.02,0
40498405.0,7017.0,1.0,0.85,-0.39,0.29,-0.19
40501388.0,2983.0,0.0,0.08,-0.57,-0.06,0
40513405.0,12017.0,1.0,0.86,-0.39,0.28,-0.19
40517388.0,3983.0,0.0,0.15,-0.51,-0.01,0
40520405.0,3017.0,1.0,0.86,-0.39,0.28,-0.19
40523388.0,2983.0,0.0,0.14,-0.48,-0.02,0
40527405.0,4017.0,1.0,0.86,-0.39,0.28,-0.19
40530388.0,2983.0,0.0,0.3,-0.61,-0.05,0
40538405.0,8017.0,1.0,0.86,-0.39,0.28,-0.19
40541388.0,2983.0,0.0,0.37,-0.7,-0.11,0
40548405.0,7017.0,1.0,0.86,-0.39,0.28,-0.19
40551388.0,2983.0,0.0,0.55,-0.52,0.04,0
40558405.0,7017.0,1.0,0.86,-0.39,0.28,-0.19
40562388.0,3983.0,0.0,0.59,-0.57,0.09,0
40568405.0,6017.0,1.0,0.86,-0.39,0.27,-0.19
40571388.0,2983.0,0.0,0.66,-0.66,0.15,0
40578405.0,7017.0,1.0,0.86,-0.39,0.27,-0.19
40581388.0,2983.0,0.0,0.73,-0.79,0.18,0
40588405.0,7017.0,1.0,0.86,-0.39,0.27,-0.19
40591388.0,2983.0,0.0,0.73,-0.66,0.16,0
40598405.0,7017.0,1.0,0.86,-0.39,0.27,-0.19
40602388.0,3983.0,0.0,0.72,-0.5,0.13,0
40608405.0,6017.0,1.0,0.86,-0.39,0.27,-0.19
40611388.0,2983.0,0.0,0.72,-0.34,0.12,0
40618405.0,7017.0,1.0,0.86,-0.39,0.27,-0.19
40621388.0,2983.0,0.0,0.75,-0.17,-0.0,0
40628405.0,7017.0,1.0,0.86,-0.39,0.27,-0.19
40631388.0,2983.0,0.0,0.75,-0.05,-0.04,0
40638405.0,7017.0,1.0,0.86,-0.39,0.27,-0.19
40641388.0,2983.0,0.0,0.79,-0.0,-0.01,0
40648405.0,7017.0,1.0,0.86,-0.39,0.27,-0.19
40651388.0,2983.0,0.0,0.82,0.0,-0.1,0
