time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
11563418.0,8032.0,1.0,0.6990356445,-0.0556640625,0.7022705078,0.1226806641
11566386.0,2968.0,0.0,-0.0234375,0.00390625,0.078125,0
11572418.0,6032.0,1.0,0.6987915039,-0.0557250977,0.7025146484,0.1226196289
11575386.0,2968.0,0.0,-0.0234375,-0.1875,-0.10546875,0
11582418.0,7032.0,1.0,0.6985473633,-0.0557861328,0.7027587891,0.1225585938
11585386.0,2968.0,0.0,0.015625,-0.26171875,-0.25,0
11593418.0,8032.0,1.0,0.6983032227,-0.0557861328,0.7030029297,0.1224975586
11596386.0,2968.0,0.0,0.015625,-0.26171875,-0.35546875,0
11602418.0,6032.0,1.0,0.698059082,-0.0557861328,0.7033081055,0.1224975586
11605386.0,2968.0,0.0,0.015625,-0.1484375,-0.38671875,0
11612418.0,7032.0,1.0,0.6978149414,-0.055847168,0.7035522461,0.1224975586
11615386.0,2968.0,0.0,0.015625,0.08203125,-0.41015625,0
11622418.0,7032.0,1.0,0.6975708008,-0.055847168,0.7037963867,0.1224365234
11626386.0,3968.0,0.0,0.015625,0.1953125,-0.39453125,0
11633418.0,7032.0,1.0,0.6973266602,-0.055847168,0.7040405273,0.1223754883
11636386.0,2968.0,0.0,0.015625,0.16015625,-0.2265625,0
11642418.0,6032.0,1.0,0.6970825195,-0.0559082031,0.704284668,0.1223754883
11645386.0,2968.0,0.0,-0.0234375,0.08203125,0.01171875,0
11652418.0,7032.0,1.0,0.6968383789,-0.0559082031,0.7045288086,0.1223144531
11655386.0,2968.0,0.0,-0.0234375,-0.00390625,0.02734375,0
11662418.0,7032.0,1.0,0.6965942383,-0.0559692383,0.7047729492,0.1221923828
11666386.0,3968.0,0.0,0.015625,-0.0390625,-0.1484375,0
11672418.0,6032.0,1.0,0.6963500977,-0.0559692383,0.7050170898,0.1221313477
11675386.0,2968.0,0.0,0.015625,-0.1171875,-0.37109375,0
11682418.0,7032.0,1.0,0.696105957,-0.0560302734,0.7052612305,0.1221313477
11685386.0,2968.0,0.0,0.015625,-0.22265625,-0.31640625,0
11692418.0,7032.0,1.0,0.6958618164,-0.0560913086,0.7055053711,0.1221313477
11695386.0,2968.0,0.0,-0.0234375,-0.21484375,-0.109375,0
11702418.0,7032.0,1.0,0.6956176758,-0.0560913086,0.7057495117,0.1220703125
11706386.0,3968.0,0.0,-0.0234375,-0.1875,0.05859375,0
11712418.0,6032.0,1.0,0.6953125,-0.0560913086,0.7059936523,0.1220703125
11715386.0,2968.0,0.0,-0.015625,-0.1015625,0.10546875,0
11723418.0,8032.0,1.0,0.6950683594,-0.0560302734,0.7062988281,0.1220703125
11726386.0,2968.0,0.0,0.015625,0.16796875,-0.14453125,0
11732418.0,6032.0,1.0,0.6948242188,-0.0560302734,0.7065429688,0.1220703125
11735386.0,2968.0,0.0,0.015625,0.203125,-0.25390625,0
11743418.0,8032.0,1.0,0.6945800781,-0.0560302734,0.7067871094,0.1220092773
11746386.0,2968.0,0.0,0.015625,0.28125,-0.27734375,0
11753418.0,7032.0,1.0,0.6943359375,-0.0560913086,0.70703125,0.1219482422
11756386.0,2968.0,0.0,0.015625,0.2421875,-0.26953125,0
11763418.0,7032.0,1.0,0.6940917969,-0.0561523437,0.7072753906,0.121887207
11766386.0,2968.0,0.0,0.015625,0.08203125,-0.0546875,0
11772418.0,6032.0,1.0,0.6937866211,-0.0562133789,0.7075805664,0.1218261719
11775386.0,2968.0,0.0,-0.0234375,-0.03125,-0.015625,0
11783418.0,8032.0,1.0,0.6935424805,-0.0562744141,0.707824707,0.1217651367
11786386.0,2968.0,0.0,-0.0234375,-0.0703125,0.1171875,0
11793418.0,7032.0,1.0,0.6932983398,-0.0562744141,0.7080688477,0.1217041016
11796386.0,2968.0,0.0,0.015625,-0.109375,0.23828125,0
11803418.0,7032.0,1.0,0.6929931641,-0.0563354492,0.7083740234,0.1216430664
11806386.0,2968.0,0.0,0.015625,-0.03125,0.1328125,0
11812418.0,6032.0,1.0,0.6927490234,-0.0563354492,0.7086181641,0.1216430664
11815386.0,2968.0,0.0,-0.0234375,-0.03125,-0.05078125,0
11823418.0,8032.0,1.0,0.6924438477,-0.0563964844,0.7089233398,0.1215820313
11826386.0,2968.0,0.0,-0.0234375,-0.03125,-0.03515625,0
11832418.0,6032.0,1.0,0.692199707,-0.0563964844,0.7091674805,0.1215209961
11835386.0,2968.0,0.0,0.015625,-0.1171875,-0.11328125,0
11843418.0,8032.0,1.0,0.6918945313,-0.0563964844,0.7094726563,0.1214599609
11846386.0,2968.0,0.0,-0.0234375,0.04296875,-0.17578125,0
11852418.0,6032.0,1.0,0.6915893555,-0.0564575195,0.7097167969,0.1214599609
11855386.0,2968.0,0.0,0.015625,0.15234375,-0.2421875,0
11863418.0,8032.0,1.0,0.6913452148,-0.0565185547,0.7100219727,0.1213989258
11866386.0,2968.0,0.0,0.015625,0.1953125,-0.19921875,0
11872418.0,6032.0,1.0,0.6910400391,-0.0565185547,0.7102661133,0.1213378906
11875386.0,2968.0,0.0,0.015625,0.07421875,-0.02734375,0
11882418.0,7032.0,1.0,0.6907958984,-0.0565795898,0.7105712891,0.1212768555
11885386.0,2968.0,0.0,0.015625,0.08203125,0.09375,0
11892418.0,7032.0,1.0,0.6904907227,-0.056640625,0.7108764648,0.1212158203
11895386.0,2968.0,0.0,-0.0234375,-0.00390625,0.1015625,0
11903418.0,8032.0,1.0,0.6901855469,-0.0567016602,0.7111206055,0.1211547852
11906386.0,2968.0,0.0,0.015625,-0.0703125,0.1875,0
11913418.0,7032.0,1.0,0.6898803711,-0.0567626953,0.7114257813,0.12109375
11916386.0,2968.0,0.0,-0.0234375,-0.30078125,0.00390625,0
11923418.0,7032.0,1.0,0.6896362305,-0.0568237305,0.711730957,0.1210327148
11927386.0,3968.0,0.0,-0.0234375,-0.03125,-0.10546875,0
11932418.0,5032.0,1.0,0.6893310547,-0.0568237305,0.7120361328,0.1209716797
11935386.0,2968.0,0.0,0.015625,-0.00390625,-0.2421875,0
11943418.0,8032.0,1.0,0.6890258789,-0.0568237305,0.7123413086,0.1209716797
11946386.0,2968.0,0.0,-0.0234375,-0.1484375,-0.1953125,0
11953418.0,7032.0,1.0,0.6887207031,-0.0568847656,0.7126464844,0.1209716797
11956386.0,2968.0,0.0,0.015625,0.16015625,-0.48828125,0
11963418.0,7032.0,1.0,0.6884155273,-0.0568847656,0.712890625,0.1209106445
11967386.0,3968.0,0.0,-0.0234375,0.11328125,-0.47265625,0
11973418.0,6032.0,1.0,0.6881103516,-0.0569458008,0.7131958008,0.1209106445
11976386.0,2968.0,0.0,-0.0234375,0.07421875,-0.33984375,0
11983418.0,7032.0,1.0,0.6878662109,-0.0570068359,0.7134399414,0.1209106445
11986386.0,2968.0,0.0,0.015625,-0.0390625,-0.140625,0
11993418.0,7032.0,1.0,0.6876220703,-0.0570068359,0.713684082,0.1208496094
11996386.0,2968.0,0.0,-0.03125,-0.03125,-0.1328125,0
12003418.0,7032.0,1.0,0.6873168945,-0.0570678711,0.7139282227,0.1207885742
12007386.0,3968.0,0.0,-0.03125,0.00390625,-0.1171875,0
12013418.0,6032.0,1.0,0.6870727539,-0.0571289062,0.7142333984,0.1207275391
12016386.0,2968.0,0.0,-0.0234375,0.08203125,-0.1015625,0
12023418.0,7032.0,1.0,0.6868286133,-0.0571289062,0.7144775391,0.1206665039
12026386.0,2968.0,0.0,0.015625,-0.0234375,-0.125,0
12033418.0,7032.0,1.0,0.6865234375,-0.0571899414,0.7147216797,0.1206054688
12036386.0,2968.0,0.0,-0.0234375,-0.0703125,-0.23046875,0
12043418.0,7032.0,1.0,0.6862792969,-0.0572509766,0.7149658203,0.1205444336
12047386.0,3968.0,0.0,0.015625,-0.0703125,-0.37109375,0
12053418.0,6032.0,1.0,0.6860351563,-0.0572509766,0.7152099609,0.1205444336
12056386.0,2968.0,0.0,0.015625,0.1953125,-0.35546875,0
12062418.0,6032.0,1.0,0.6857910156,-0.0573120117,0.7154541016,0.1204833984
12065386.0,2968.0,0.0,-0.0234375,-0.1484375,-0.26171875,0
12073418.0,8032.0,1.0,0.685546875,-0.0573120117,0.7156982422,0.1204833984
12076386.0,2968.0,0.0,0.015625,-0.1875,-0.29296875,0
12083418.0,7032.0,1.0,0.6853027344,-0.0573730469,0.7159423828,0.1204833984
12087386.0,3968.0,0.0,0.015625,-0.0703125,-0.27734375,0
12093418.0,6032.0,1.0,0.6851196289,-0.0573730469,0.7161254883,0.1204223633
12096386.0,2968.0,0.0,-0.0234375,0.05078125,-0.30078125,0
12103418.0,7032.0,1.0,0.6848754883,-0.0573730469,0.7163696289,0.1204223633
12106386.0,2968.0,0.0,-0.0234375,0.01171875,-0.16796875,0
12113418.0,7032.0,1.0,0.6846923828,-0.0573730469,0.7165527344,0.1203613281
12116386.0,2968.0,0.0,0.0078125,0.04296875,-0.19140625,0
12123418.0,7032.0,1.0,0.6845092773,-0.057434082,0.7167358398,0.1203613281
12126386.0,2968.0,0.0,0.0078125,-0.03125,-0.14453125,0
12133418.0,7032.0,1.0,0.6843261719,-0.0574951172,0.7169189453,0.1203613281
12136386.0,2968.0,0.0,-0.0234375,-0.0625,-0.0546875,0
12143418.0,7032.0,1.0,0.6841430664,-0.0574951172,0.7170410156,0.1203613281
12146386.0,2968.0,0.0,0.015625,-0.0703125,0.0703125,0
12153418.0,7032.0,1.0,0.6839599609,-0.0575561523,0.7172241211,0.1203613281
12156386.0,2968.0,0.0,-0.0234375,-0.0625,0.23046875,0
12163418.0,7032.0,1.0,0.6837768555,-0.0575561523,0.7174072266,0.1203613281
12166386.0,2968.0,0.0,-0.03125,-0.0625,0.4609375,0
