time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
50200443.0,8016.0,1.0,0.85,-0.39,0.26,-0.26
50203427.0,2984.0,0.0,-0.04,-0.05,-0.04,0
50209443.0,6016.0,1.0,0.85,-0.39,0.26,-0.26
50212427.0,2984.0,0.0,-0.07,0.11,0.04,0
50219443.0,7016.0,1.0,0.85,-0.39,0.26,-0.26
50222427.0,2984.0,0.0,-0.08,0.14,0.07,0
50229443.0,7016.0,1.0,0.85,-0.39,0.26,-0.26
50232427.0,2984.0,0.0,-0.07,0.15,0.11,0
50240443.0,8016.0,1.0,0.85,-0.39,0.26,-0.26
50243427.0,2984.0,0.0,-0.01,0.08,0.07,0
50250443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50253427.0,2984.0,0.0,0.11,-0.21,-0.05,0
50259443.0,6016.0,1.0,0.85,-0.39,0.25,-0.26
50262427.0,2984.0,0.0,0.18,-0.36,-0.05,0
50270443.0,8016.0,1.0,0.85,-0.39,0.25,-0.26
50273427.0,2984.0,0.0,0.1,-0.5,-0.09,0
50280443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50283427.0,2984.0,0.0,0.09,-0.57,-0.02,0
50289443.0,6016.0,1.0,0.85,-0.39,0.25,-0.26
50292427.0,2984.0,0.0,0.05,-0.36,0.02,0
50299443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50303427.0,3984.0,0.0,-0.03,-0.25,0.06,0
50310443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50313427.0,2984.0,0.0,-0.15,-0.2,0.13,0
50320443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50323427.0,2984.0,0.0,-0.15,-0.08,0.05,0
50329443.0,6016.0,1.0,0.85,-0.39,0.25,-0.26
50332427.0,2984.0,0.0,-0.11,0.12,0.01,0
50339443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50343427.0,3984.0,0.0,-0.11,0.16,0.05,0
50350443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50353427.0,2984.0,0.0,-0.07,0.1,0.0,0
50359443.0,6016.0,1.0,0.85,-0.39,0.25,-0.26
50362427.0,2984.0,0.0,0.0,-0.2,0.04,0
50369443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50372427.0,2984.0,0.0,0.04,-0.3,0.07,0
50379443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50383427.0,3984.0,0.0,-0.07,-0.25,0.11,0
50389443.0,6016.0,1.0,0.85,-0.39,0.25,-0.26
50392427.0,2984.0,0.0,-0.04,-0.28,0.1,0
50399443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50402427.0,2984.0,0.0,0.01,-0.27,0.1,0
50409443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50412427.0,2984.0,0.0,0.05,-0.23,0.03,0
50420443.0,8016.0,1.0,0.85,-0.39,0.25,-0.26
50423427.0,2984.0,0.0,0.09,-0.14,-0.01,0
50429443.0,6016.0,1.0,0.85,-0.39,0.25,-0.26
50432427.0,2984.0,0.0,0.21,-0.14,-0.01,0
50440443.0,8016.0,1.0,0.85,-0.39,0.25,-0.26
50443427.0,2984.0,0.0,0.32,-0.17,0.03,0
50449443.0,6016.0,1.0,0.85,-0.39,0.25,-0.26
50452427.0,2984.0,0.0,0.39,-0.16,0.03,0
50460443.0,8016.0,1.0,0.85,-0.39,0.25,-0.26
50463427.0,2984.0,0.0,0.39,-0.2,0.03,0
50470443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50473427.0,2984.0,0.0,0.39,-0.19,0.03,0
50480443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50483427.0,2984.0,0.0,0.27,-0.15,0.04,0
50489443.0,6016.0,1.0,0.85,-0.39,0.25,-0.26
50492427.0,2984.0,0.0,0.22,-0.14,-0.0,0
50500443.0,8016.0,1.0,0.85,-0.39,0.25,-0.26
50503427.0,2984.0,0.0,0.13,0.01,-0.04,0
50510443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50513427.0,2984.0,0.0,-0.07,0.66,0.04,0
50519443.0,6016.0,1.0,0.85,-0.39,0.25,-0.26
50522427.0,2984.0,0.0,-0.11,0.51,0.04,0
50529443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50532427.0,2984.0,0.0,-0.1,0.36,0.08,0
50540443.0,8016.0,1.0,0.85,-0.39,0.25,-0.26
50543427.0,2984.0,0.0,-0.14,0.56,0.11,0
50549443.0,6016.0,1.0,0.85,-0.39,0.25,-0.26
50552427.0,2984.0,0.0,-0.22,0.88,0.23,0
50559443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50562427.0,2984.0,0.0,-0.25,0.82,0.23,0
50569443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50572427.0,2984.0,0.0,-0.29,0.46,0.22,0
50580443.0,8016.0,1.0,0.85,-0.39,0.25,-0.26
50583427.0,2984.0,0.0,-0.25,-0.01,0.17,0
50589443.0,6016.0,1.0,0.85,-0.39,0.25,-0.26
50592427.0,2984.0,0.0,-0.06,-0.26,0.13,0
50599443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50602427.0,2984.0,0.0,0.02,-0.32,0.13,0
50609443.0,7016.0,1.0,0.85,-0.39,0.24,-0.26
50612427.0,2984.0,0.0,0.1,-0.31,0.08,0
50620443.0,8016.0,1.0,0.85,-0.39,0.24,-0.26
50623427.0,2984.0,0.0,0.02,-0.26,0.0,0
50629443.0,6016.0,1.0,0.85,-0.39,0.24,-0.26
50632427.0,2984.0,0.0,-0.17,-0.07,-0.07,0
50639443.0,7016.0,1.0,0.85,-0.39,0.24,-0.26
50642427.0,2984.0,0.0,-0.25,-0.0,-0.04,0
50649443.0,7016.0,1.0,0.85,-0.39,0.25,-0.26
50652427.0,2984.0,0.0,-0.29,0.11,-0.04,0
50660443.0,8016.0,1.0,0.85,-0.39,0.25,-0.26
50663427.0,2984.0,0.0,-0.29,0.34,-0.03,0
