time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
27885429.0,8032.0,1.0,0.6670532227,-0.2506103516,0.6264648438,0.3159790039
27888397.0,2968.0,0.0,0.109375,0.51953125,-1.17578125,0
27895429.0,7032.0,1.0,0.6678466797,-0.248046875,0.6276245117,0.3139648438
27898397.0,2968.0,0.0,0.14453125,-0.109375,-0.78515625,0
27905429.0,7032.0,1.0,0.6685180664,-0.2458496094,0.6286010742,0.3123168945
27908397.0,2968.0,0.0,0.109375,-0.34765625,-0.515625,0
27914429.0,6032.0,1.0,0.6691894531,-0.2437744141,0.6294555664,0.3107910156
27917397.0,2968.0,0.0,0.14453125,-0.31640625,-0.2890625,0
27925429.0,8032.0,1.0,0.6697387695,-0.2419433594,0.6301879883,0.3095703125
27928397.0,2968.0,0.0,0.18359375,-0.37109375,-0.05078125,0
27934429.0,6032.0,1.0,0.6702270508,-0.2401733398,0.6309204102,0.3084106445
27937397.0,2968.0,0.0,0.21484375,-0.6875,0.9453125,0
27945429.0,8032.0,1.0,0.670715332,-0.23828125,0.6317138672,0.3071289063
27949397.0,3968.0,0.0,0.17578125,-0.80859375,1.29296875,0
27956429.0,7032.0,1.0,0.6712646484,-0.2360839844,0.6326904297,0.305480957
27959397.0,2968.0,0.0,0.17578125,-0.73828125,1.4921875,0
27966429.0,7032.0,1.0,0.6719360352,-0.233581543,0.6339111328,0.3035888672
27969397.0,2968.0,0.0,0.21484375,-0.44921875,1.57421875,0
27976429.0,7032.0,1.0,0.6725463867,-0.2308349609,0.6352539063,0.3015136719
27979397.0,2968.0,0.0,0.1015625,-0.38671875,1.046875,0
27984429.0,5032.0,1.0,0.6730957031,-0.2280883789,0.6366577148,0.2993774414
27988397.0,3968.0,0.0,0.13671875,0.09375,0.37109375,0
27995429.0,7032.0,1.0,0.6741943359,-0.2242431641,0.6383666992,0.2961425781
27998397.0,2968.0,0.0,0.0234375,-0.07421875,0.37890625,0
28004429.0,6032.0,1.0,0.6751098633,-0.2207641602,0.6399536133,0.2931518555
28007397.0,2968.0,0.0,0.1015625,0.8671875,0.578125,0
28015429.0,8032.0,1.0,0.6759643555,-0.2175292969,0.641418457,0.2904052734
28018397.0,2968.0,0.0,0.09375,1.12890625,0.6171875,0
28025429.0,7032.0,1.0,0.6766357422,-0.2145996094,0.6428222656,0.287902832
28028397.0,2968.0,0.0,0.12890625,1.07421875,0.55078125,0
28035429.0,7032.0,1.0,0.6773681641,-0.211730957,0.6441650391,0.2854003906
28038397.0,2968.0,0.0,0.12890625,0.9140625,0.48828125,0
28044429.0,6032.0,1.0,0.6780395508,-0.2089233398,0.6454467773,0.2828369141
28047397.0,2968.0,0.0,0.12890625,-0.05859375,0.49609375,0
28055429.0,8032.0,1.0,0.6786499023,-0.2059326172,0.6469116211,0.2802124023
28058397.0,2968.0,0.0,0.12890625,-0.63671875,0.50390625,0
28065429.0,7032.0,1.0,0.6793212891,-0.2029418945,0.6483154297,0.2775878906
28068397.0,2968.0,0.0,0.09375,-0.95703125,0.13671875,0
28075429.0,7032.0,1.0,0.6798706055,-0.200012207,0.6496582031,0.2750854492
28078397.0,2968.0,0.0,0.015625,-0.359375,-0.390625,0
28085429.0,7032.0,1.0,0.6801757813,-0.1979370117,0.6506958008,0.2734375
28088397.0,2968.0,0.0,0.09375,2.3515625,-0.98828125,0
28095429.0,7032.0,1.0,0.6801147461,-0.197265625,0.6511230469,0.2730712891
28098397.0,2968.0,0.0,0.16796875,1.5390625,-0.4453125,0
28105429.0,7032.0,1.0,0.6796875,-0.1978149414,0.6511230469,0.2738037109
28108397.0,2968.0,0.0,0.16015625,0.66015625,0.17578125,0
28115429.0,7032.0,1.0,0.6790161133,-0.1989746094,0.6508789063,0.2750854492
28118397.0,2968.0,0.0,0.0859375,0.3515625,0.0234375,0
28125429.0,7032.0,1.0,0.6784667969,-0.1998901367,0.6507568359,0.276184082
28128397.0,2968.0,0.0,0.0859375,-0.95703125,-0.3984375,0
28135429.0,7032.0,1.0,0.6781616211,-0.200012207,0.6508789063,0.276550293
28138397.0,2968.0,0.0,0.0859375,-0.91796875,-0.4296875,0
28145429.0,7032.0,1.0,0.6781616211,-0.19921875,0.6513061523,0.2760620117
28148397.0,2968.0,0.0,0.0859375,-0.58203125,-0.61328125,0
28155429.0,7032.0,1.0,0.6781005859,-0.1984863281,0.6517333984,0.2757568359
28158397.0,2968.0,0.0,0.16015625,0.3203125,-0.3828125,0
28165429.0,7032.0,1.0,0.6779785156,-0.1979370117,0.6520385742,0.2756347656
28168397.0,2968.0,0.0,0.12109375,0.6953125,-0.18359375,0
28175429.0,7032.0,1.0,0.677734375,-0.1977539063,0.6522827148,0.2758789063
28178397.0,2968.0,0.0,0.12109375,0.3125,-0.0234375,0
28185429.0,7032.0,1.0,0.6775512695,-0.1975097656,0.6524658203,0.2760620117
28188397.0,2968.0,0.0,0.12109375,-0.19921875,0.16796875,0
28195429.0,7032.0,1.0,0.6776123047,-0.1964111328,0.6530151367,0.275390625
28198397.0,2968.0,0.0,0.0859375,-1.08984375,0.25390625,0
28205429.0,7032.0,1.0,0.6779785156,-0.1943969727,0.6538696289,0.2739257813
28208397.0,2968.0,0.0,0.0859375,-1.09765625,-0.16015625,0
28215429.0,7032.0,1.0,0.6785888672,-0.1914672852,0.6550292969,0.2716064453
28218397.0,2968.0,0.0,0.078125,-0.99609375,-0.734375,0
28225429.0,7032.0,1.0,0.6792602539,-0.1884155273,0.6561889648,0.2692871094
28228397.0,2968.0,0.0,-0.078125,0.71875,-1.5234375,0
28234429.0,6032.0,1.0,0.6795043945,-0.1867675781,0.6568603516,0.2682495117
28237397.0,2968.0,0.0,0.078125,0.93359375,-1.484375,0
28245429.0,8032.0,1.0,0.6795654297,-0.1857910156,0.6572265625,0.2678222656
28248397.0,2968.0,0.0,-0.0390625,1.30859375,-1.1015625,0
28255429.0,7032.0,1.0,0.6795654297,-0.1851806641,0.6574707031,0.2676391602
28258397.0,2968.0,0.0,0.23046875,2.10546875,-0.21484375,0
28265429.0,7032.0,1.0,0.6793823242,-0.1851806641,0.6575317383,0.2679443359
28268397.0,2968.0,0.0,0.22265625,0.52734375,0.16796875,0
28275429.0,7032.0,1.0,0.6791992188,-0.1850585938,0.6576538086,0.2681274414
28278397.0,2968.0,0.0,0.0,-0.4296875,0.015625,0
28285429.0,7032.0,1.0,0.6791381836,-0.184753418,0.6577758789,0.2681884766
28289397.0,3968.0,0.0,0.10546875,0.40234375,-0.62890625,0
28295429.0,6032.0,1.0,0.6790771484,-0.1845703125,0.6578979492,0.2683105469
28298397.0,2968.0,0.0,0.11328125,0.703125,-0.93359375,0
28305429.0,7032.0,1.0,0.6788330078,-0.1848144531,0.6578369141,0.2687988281
28308397.0,2968.0,0.0,0.4140625,2.6953125,-0.24609375,0
28315429.0,7032.0,1.0,0.6782836914,-0.1859130859,0.6575927734,0.2699584961
28318397.0,2968.0,0.0,0.18359375,1.8125,1.25,0
28325429.0,7032.0,1.0,0.6776123047,-0.1874389648,0.6573486328,0.2713623047
28329397.0,3968.0,0.0,0.0234375,-0.25390625,1.2578125,0
28335429.0,6032.0,1.0,0.6771240234,-0.1884765625,0.6571655273,0.2722167969
28338397.0,2968.0,0.0,0.09765625,0.05078125,0.33984375,0
28345429.0,7032.0,1.0,0.6768188477,-0.1890258789,0.6571655273,0.2725830078
28348397.0,2968.0,0.0,0.18359375,1.1328125,-0.4140625,0
28355429.0,7032.0,1.0,0.6766967773,-0.1891479492,0.6572875977,0.2725219727
28358397.0,2968.0,0.0,0.18359375,1.55078125,0.0078125,0
28365429.0,7032.0,1.0,0.6766967773,-0.1890869141,0.657409668,0.2722167969
28369397.0,3968.0,0.0,0.22265625,1.62109375,-0.05859375,0
28375429.0,6032.0,1.0,0.6765136719,-0.1895751953,0.657409668,0.2723999023
28378397.0,2968.0,0.0,0.26171875,1.890625,-0.08984375,0
28385429.0,7032.0,1.0,0.6762695313,-0.1903076172,0.6573486328,0.272644043
28388397.0,2968.0,0.0,0.22265625,1.515625,0.37109375,0
28395429.0,7032.0,1.0,0.6759643555,-0.1912231445,0.6572265625,0.2730102539
28398397.0,2968.0,0.0,0.22265625,1.828125,0.8359375,0
28405429.0,7032.0,1.0,0.67578125,-0.1918945313,0.6572265625,0.2730102539
28409397.0,3968.0,0.0,0.22265625,1.109375,0.76171875,0
28415429.0,6032.0,1.0,0.6755981445,-0.1926269531,0.6572265625,0.2730102539
28418397.0,2968.0,0.0,-0.3515625,-0.1484375,0.4609375,0
28424429.0,6032.0,1.0,0.6757202148,-0.1924438477,0.6574707031,0.2722167969
28427397.0,2968.0,0.0,0.03125,-0.109375,-0.390625,0
28435429.0,8032.0,1.0,0.6761474609,-0.1913452148,0.6580200195,0.2706298828
28438397.0,2968.0,0.0,0.0703125,0.359375,-0.640625,0
28445429.0,7032.0,1.0,0.6765136719,-0.1903076172,0.6585083008,0.2691650391
28448397.0,2968.0,0.0,0.10546875,0.359375,-0.41015625,0
