time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
16738443.0,7016.0,1.0,0.89,-0.44,0.09,0.05
16741427.0,2984.0,0.0,0.1,0.14,0.02,0
16748443.0,7016.0,1.0,0.89,-0.44,0.09,0.05
16751427.0,2984.0,0.0,0.06,0.2,-0.06,0
16758443.0,7016.0,1.0,0.89,-0.44,0.09,0.05
16761427.0,2984.0,0.0,-0.02,0.2,-0.1,0
16768443.0,7016.0,1.0,0.89,-0.44,0.09,0.05
16771427.0,2984.0,0.0,-0.05,0.07,-0.14,0
16778443.0,7016.0,1.0,0.89,-0.44,0.09,0.05
16781427.0,2984.0,0.0,-0.02,0.06,-0.06,0
16788443.0,7016.0,1.0,0.89,-0.44,0.09,0.05
16791427.0,2984.0,0.0,-0.14,0.1,-0.02,0
16798443.0,7016.0,1.0,0.89,-0.44,0.09,0.05
16801427.0,2984.0,0.0,-0.18,0.2,-0.02,0
16808443.0,7016.0,1.0,0.89,-0.44,0.09,0.05
16811427.0,2984.0,0.0,-0.18,0.12,0.02,0
16818443.0,7016.0,1.0,0.89,-0.44,0.09,0.05
16821427.0,2984.0,0.0,-0.09,0.0,-0.02,0
16828443.0,7016.0,1.0,0.89,-0.44,0.09,0.05
16831427.0,2984.0,0.0,-0.09,-0.15,0.02,0
16838443.0,7016.0,1.0,0.89,-0.44,0.09,0.05
16841427.0,2984.0,0.0,-0.09,-0.07,0.06,0
16848443.0,7016.0,1.0,0.89,-0.44,0.09,0.05
16851427.0,2984.0,0.0,-0.09,0.04,0.06,0
16858443.0,7016.0,1.0,0.89,-0.44,0.09,0.05
16861427.0,2984.0,0.0,-0.09,-0.0,0.06,0
16867443.0,6016.0,1.0,0.89,-0.44,0.09,0.05
16870427.0,2984.0,0.0,-0.05,-0.12,0.02,0
16878443.0,8016.0,1.0,0.89,-0.44,0.09,0.05
16881427.0,2984.0,0.0,0.03,-0.12,0.02,0
16888443.0,7016.0,1.0,0.89,-0.44,0.09,0.05
16891427.0,2984.0,0.0,0.03,-0.12,0.02,0
