time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
63637419.0,7032.0,1.0,0.6840209961,0.0703735352,0.7260742188,-0.000793457
63640387.0,2968.0,0.0,0.0078125,-1.6953125,0.90625,0
63647419.0,7032.0,1.0,0.6842651367,0.0728759766,0.7255859375,-0.0036010742
63651387.0,3968.0,0.0,0.04296875,-1.7265625,1.85546875,0
63657419.0,6032.0,1.0,0.6843261719,0.0761108398,0.7251586914,-0.0071411133
63660387.0,2968.0,0.0,0.08203125,-1.80078125,2.66015625,0
63667419.0,7032.0,1.0,0.6842041016,0.0797119141,0.7247924805,-0.010925293
63670387.0,2968.0,0.0,0.08984375,-1.94921875,3.46484375,0
63677419.0,7032.0,1.0,0.6839599609,0.0838012695,0.7245483398,-0.0150146484
63680387.0,2968.0,0.0,0.12109375,-1.55859375,3.51171875,0
63687419.0,7032.0,1.0,0.68359375,0.0876464844,0.7243652344,-0.018737793
63690387.0,2968.0,0.0,0.04296875,-1.40234375,3.01953125,0
63699419.0,9032.0,1.0,0.6831054688,0.0911865234,0.7243041992,-0.0219726562
63702387.0,2968.0,0.0,0.04296875,-1.2109375,2.1015625,0
63707419.0,5032.0,1.0,0.6825561523,0.0946044922,0.7242431641,-0.0250244141
63710387.0,2968.0,0.0,-0.03125,-1.01171875,-0.2265625,0
63717419.0,7032.0,1.0,0.6820068359,0.0981445313,0.7241821289,-0.028137207
63720387.0,2968.0,0.0,-0.03125,-0.71484375,-1.09375,0
63727419.0,7032.0,1.0,0.6815185547,0.1016235352,0.7239990234,-0.0311279297
63730387.0,2968.0,0.0,0.11328125,0.16796875,-1.734375,0
63737419.0,7032.0,1.0,0.6813964844,0.1030273438,0.7238769531,-0.0319824219
63740387.0,2968.0,0.0,0.07421875,5.25390625,-2.9921875,0
63747419.0,7032.0,1.0,0.6817016602,0.1025390625,0.7237548828,-0.0309448242
63750387.0,2968.0,0.0,-0.15625,-1.07421875,-1.0078125,0
63757419.0,7032.0,1.0,0.6819458008,0.1024169922,0.7235107422,-0.030456543
63760387.0,2968.0,0.0,-0.078125,3.359375,-0.82421875,0
63767419.0,7032.0,1.0,0.6821899414,0.1024169922,0.7233276367,-0.0301513672
63770387.0,2968.0,0.0,-0.23046875,3.97265625,-0.94921875,0
63777419.0,7032.0,1.0,0.6824951172,0.1020507813,0.7231445313,-0.0298461914
63780387.0,2968.0,0.0,0.49609375,0.7578125,0.30859375,0
63787419.0,7032.0,1.0,0.6826782227,0.1018066406,0.7229614258,-0.0297851563
63790387.0,2968.0,0.0,0.11328125,0.52734375,0.1171875,0
63797419.0,7032.0,1.0,0.6829223633,0.1016235352,0.7227783203,-0.0298461914
63800387.0,2968.0,0.0,0.0,0.41015625,0.453125,0
63807419.0,7032.0,1.0,0.6831054688,0.1015014648,0.7225952148,-0.0299682617
63810387.0,2968.0,0.0,-0.1171875,-0.96875,0.5234375,0
63817419.0,7032.0,1.0,0.6833496094,0.1014404297,0.7224121094,-0.0299682617
