time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
48376443.0,7016.0,1.0,0.86,-0.41,0.2,-0.22
48379427.0,2984.0,0.0,0.46,0.27,-0.12,0
48386443.0,7016.0,1.0,0.86,-0.41,0.2,-0.22
48389427.0,2984.0,0.0,0.39,0.23,-0.15,0
48396443.0,7016.0,1.0,0.86,-0.41,0.2,-0.23
48399427.0,2984.0,0.0,0.43,0.45,-0.04,0
48406443.0,7016.0,1.0,0.86,-0.41,0.21,-0.23
48409427.0,2984.0,0.0,0.51,0.36,0.01,0
48416443.0,7016.0,1.0,0.86,-0.41,0.21,-0.23
48419427.0,2984.0,0.0,0.55,0.32,0.09,0
48426443.0,7016.0,1.0,0.86,-0.41,0.21,-0.23
48429427.0,2984.0,0.0,0.71,0.32,0.25,0
48436443.0,7016.0,1.0,0.86,-0.41,0.21,-0.23
48439427.0,2984.0,0.0,0.89,0.09,0.45,0
48446443.0,7016.0,1.0,0.86,-0.41,0.21,-0.23
48449427.0,2984.0,0.0,0.89,0.09,0.6,0
48457443.0,8016.0,1.0,0.86,-0.41,0.21,-0.23
48460427.0,2984.0,0.0,0.85,0.09,0.71,0
48466443.0,6016.0,1.0,0.86,-0.41,0.21,-0.23
48469427.0,2984.0,0.0,0.86,0.12,0.84,0
48476443.0,7016.0,1.0,0.86,-0.41,0.21,-0.23
48479427.0,2984.0,0.0,0.86,0.16,0.8,0
48486443.0,7016.0,1.0,0.86,-0.41,0.21,-0.23
48489427.0,2984.0,0.0,0.91,0.04,0.78,0
48497443.0,8016.0,1.0,0.86,-0.41,0.21,-0.23
48500427.0,2984.0,0.0,1.02,-0.07,0.66,0
48506443.0,6016.0,1.0,0.86,-0.41,0.21,-0.23
48509427.0,2984.0,0.0,1.11,-0.0,0.59,0
48516443.0,7016.0,1.0,0.86,-0.41,0.21,-0.23
48519427.0,2984.0,0.0,1.11,0.03,0.56,0
48526443.0,7016.0,1.0,0.86,-0.41,0.21,-0.23
48529427.0,2984.0,0.0,1.23,0.09,0.61,0
48537443.0,8016.0,1.0,0.86,-0.41,0.21,-0.23
48540427.0,2984.0,0.0,1.34,0.08,0.58,0
48546443.0,6016.0,1.0,0.86,-0.41,0.21,-0.23
48549427.0,2984.0,0.0,1.73,0.18,0.63,0
48556443.0,7016.0,1.0,0.86,-0.41,0.21,-0.23
48559427.0,2984.0,0.0,2.01,0.17,0.71,0
48566443.0,7016.0,1.0,0.86,-0.41,0.22,-0.23
48569427.0,2984.0,0.0,2.24,0.09,0.77,0
48577443.0,8016.0,1.0,0.86,-0.41,0.22,-0.23
48580427.0,2984.0,0.0,2.43,0.0,0.86,0
48586443.0,6016.0,1.0,0.86,-0.41,0.22,-0.23
48589427.0,2984.0,0.0,2.59,-0.12,1.06,0
48596443.0,7016.0,1.0,0.85,-0.41,0.22,-0.23
48599427.0,2984.0,0.0,2.68,-0.14,1.0,0
48606443.0,7016.0,1.0,0.85,-0.41,0.22,-0.23
48609427.0,2984.0,0.0,2.72,-0.15,0.98,0
48617443.0,8016.0,1.0,0.85,-0.41,0.22,-0.24
48620427.0,2984.0,0.0,2.81,-0.25,0.92,0
48632443.0,12016.0,1.0,0.85,-0.41,0.22,-0.24
48637443.0,5000.0,1.0,0.85,-0.41,0.23,-0.24
48640427.0,2984.0,0.0,2.91,-0.24,0.35,0
48647443.0,7016.0,1.0,0.85,-0.41,0.23,-0.24
48650427.0,2984.0,0.0,2.99,-0.11,0.11,0
48656443.0,6016.0,1.0,0.85,-0.41,0.23,-0.24
48659427.0,2984.0,0.0,3.35,0.25,-0.17,0
48666443.0,7016.0,1.0,0.85,-0.41,0.23,-0.24
48669427.0,2984.0,0.0,3.44,0.54,-0.21,0
48676443.0,7016.0,1.0,0.85,-0.41,0.23,-0.24
48680427.0,3984.0,0.0,3.48,0.79,-0.15,0
48687443.0,7016.0,1.0,0.85,-0.42,0.23,-0.24
48690427.0,2984.0,0.0,3.46,1.0,-0.15,0
48696443.0,6016.0,1.0,0.84,-0.42,0.24,-0.24
48699427.0,2984.0,0.0,3.05,1.04,-0.21,0
48706443.0,7016.0,1.0,0.84,-0.42,0.24,-0.24
48709427.0,2984.0,0.0,2.77,1.19,-0.25,0
48716443.0,7016.0,1.0,0.84,-0.42,0.24,-0.24
48720427.0,3984.0,0.0,2.39,1.3,-0.41,0
48726443.0,6016.0,1.0,0.84,-0.42,0.24,-0.24
48729427.0,2984.0,0.0,1.95,1.39,-0.46,0
48736443.0,7016.0,1.0,0.84,-0.42,0.24,-0.24
48739427.0,2984.0,0.0,1.16,1.28,-0.62,0
48746443.0,7016.0,1.0,0.84,-0.42,0.24,-0.24
48749427.0,2984.0,0.0,0.68,1.36,-0.56,0
48756443.0,7016.0,1.0,0.84,-0.43,0.24,-0.24
48760427.0,3984.0,0.0,0.32,1.3,-0.57,0
48766443.0,6016.0,1.0,0.84,-0.43,0.24,-0.24
48769427.0,2984.0,0.0,-0.05,1.22,-0.7,0
48777443.0,8016.0,1.0,0.84,-0.43,0.24,-0.24
48780427.0,2984.0,0.0,-0.53,1.16,-0.48,0
48786443.0,6016.0,1.0,0.84,-0.43,0.23,-0.24
48789427.0,2984.0,0.0,-0.46,1.15,-0.18,0
48797443.0,8016.0,1.0,0.84,-0.44,0.23,-0.24
48800427.0,2984.0,0.0,-0.33,1.14,0.0,0
48807443.0,7016.0,1.0,0.84,-0.44,0.23,-0.24
48810427.0,2984.0,0.0,-0.23,1.1,0.23,0
48816443.0,6016.0,1.0,0.83,-0.44,0.23,-0.24
48819427.0,2984.0,0.0,0.18,1.14,0.21,0
48826443.0,7016.0,1.0,0.83,-0.44,0.23,-0.24
48829427.0,2984.0,0.0,0.16,0.76,0.29,0
48837443.0,8016.0,1.0,0.83,-0.45,0.23,-0.24
48840427.0,2984.0,0.0,-0.08,0.85,0.25,0
48847443.0,7016.0,1.0,0.83,-0.45,0.22,-0.24
48850427.0,2984.0,0.0,-0.94,0.59,-0.49,0
48856443.0,6016.0,1.0,0.83,-0.45,0.22,-0.24
48859427.0,2984.0,0.0,-1.33,0.62,-0.87,0
48866443.0,7016.0,1.0,0.83,-0.46,0.22,-0.24
48869427.0,2984.0,0.0,-1.65,0.56,-1.19,0
48877443.0,8016.0,1.0,0.83,-0.46,0.22,-0.23
48880427.0,2984.0,0.0,-1.85,0.35,-1.38,0
48886443.0,6016.0,1.0,0.83,-0.46,0.21,-0.23
48889427.0,2984.0,0.0,-0.99,-0.28,-1.54,0
48897443.0,8016.0,1.0,0.83,-0.47,0.21,-0.23
48900427.0,2984.0,0.0,-0.42,-0.42,-1.74,0
48906443.0,6016.0,1.0,0.83,-0.47,0.21,-0.23
48909427.0,2984.0,0.0,-0.24,-0.59,-1.97,0
48917443.0,8016.0,1.0,0.82,-0.47,0.2,-0.23
48920427.0,2984.0,0.0,-0.22,-0.39,-1.82,0
48926443.0,6016.0,1.0,0.82,-0.48,0.2,-0.23
48929427.0,2984.0,0.0,-0.58,-0.34,-1.59,0
48936443.0,7016.0,1.0,0.82,-0.48,0.2,-0.23
48939427.0,2984.0,0.0,-0.93,-0.68,-1.32,0
48949443.0,10016.0,1.0,0.82,-0.48,0.2,-0.23
48952427.0,2984.0,0.0,-1.48,-0.82,-1.24,0
48959443.0,7016.0,1.0,0.82,-0.49,0.2,-0.23
48962427.0,2984.0,0.0,-2.76,-0.66,-1.12,0
48966443.0,4016.0,1.0,0.82,-0.49,0.19,-0.23
48969427.0,2984.0,0.0,-3.38,-1.06,-1.2,0
48976443.0,7016.0,1.0,0.82,-0.49,0.19,-0.23
48979427.0,2984.0,0.0,-3.51,-1.8,-1.08,0
48987443.0,8016.0,1.0,0.82,-0.49,0.19,-0.23
48990427.0,2984.0,0.0,-3.23,-2.07,-0.88,0
48997443.0,7016.0,1.0,0.82,-0.5,0.19,-0.23
49000427.0,2984.0,0.0,-2.82,-2.35,-0.41,0
49007443.0,7016.0,1.0,0.81,-0.5,0.19,-0.23
49010427.0,2984.0,0.0,-2.22,-2.1,-0.29,0
49017443.0,7016.0,1.0,0.81,-0.5,0.19,-0.23
49021427.0,3984.0,0.0,-2.53,-1.7,-0.38,0
49027443.0,6016.0,1.0,0.81,-0.51,0.19,-0.23
49030427.0,2984.0,0.0,-3.08,-1.64,-0.52,0
49037443.0,7016.0,1.0,0.81,-0.51,0.19,-0.22
49040427.0,2984.0,0.0,-3.62,-1.45,-1.07,0
49047443.0,7016.0,1.0,0.81,-0.51,0.19,-0.22
49050427.0,2984.0,0.0,-3.3,-1.5,-0.36,0
49057443.0,7016.0,1.0,0.81,-0.51,0.19,-0.22
49061427.0,3984.0,0.0,-2.81,-1.8,-0.79,0
49067443.0,6016.0,1.0,0.8,-0.52,0.2,-0.22
49070427.0,2984.0,0.0,-1.98,-2.44,-0.31,0
49077443.0,7016.0,1.0,0.8,-0.52,0.2,-0.22
49080427.0,2984.0,0.0,-0.54,-1.98,-0.39,0
49087443.0,7016.0,1.0,0.8,-0.52,0.2,-0.22
49090427.0,2984.0,0.0,-0.23,-1.56,-0.96,0
49097443.0,7016.0,1.0,0.8,-0.52,0.21,-0.22
49100427.0,2984.0,0.0,-0.59,-0.98,-0.86,0
49107443.0,7016.0,1.0,0.79,-0.52,0.21,-0.22
49110427.0,2984.0,0.0,-1.02,-0.98,-1.47,0
49116443.0,6016.0,1.0,0.79,-0.53,0.22,-0.22
49119427.0,2984.0,0.0,-2.26,-0.44,-1.81,0
49127443.0,8016.0,1.0,0.79,-0.53,0.22,-0.22
49130427.0,2984.0,0.0,-2.81,-0.05,-2.14,0
49137443.0,7016.0,1.0,0.79,-0.53,0.22,-0.22
49140427.0,2984.0,0.0,-3.09,0.08,-2.69,0
49147443.0,7016.0,1.0,0.78,-0.53,0.22,-0.22
49150427.0,2984.0,0.0,-3.25,0.26,-2.11,0
49156443.0,6016.0,1.0,0.78,-0.54,0.23,-0.22
49159427.0,2984.0,0.0,-2.77,0.44,-1.8,0
49167443.0,8016.0,1.0,0.78,-0.54,0.23,-0.22
49170427.0,2984.0,0.0,-2.2,0.59,-1.81,0
49177443.0,7016.0,1.0,0.78,-0.54,0.23,-0.22
49180427.0,2984.0,0.0,-1.72,0.93,-2.12,0
