time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
9922.0,0
45908386.0,2967.0,0.0,-0.01171875,0.03515625,0.18359375,0
45915419.0,7033.0,1.0,0.529296875,0.4776000977,0.5409545898,-0.4461669922
45919386.0,3967.0,0.0,0.02734375,0.07421875,0.17578125,0
45925419.0,6033.0,1.0,0.5293579102,0.4776000977,0.5409545898,-0.4461669922
45928386.0,2967.0,0.0,0.02734375,0.07421875,0.09765625,0
45935419.0,7033.0,1.0,0.5293579102,0.4776000977,0.5409545898,-0.446105957
45938386.0,2967.0,0.0,0.02734375,-0.04296875,0.01953125,0
45945419.0,7033.0,1.0,0.5293579102,0.4776000977,0.5409545898,-0.446105957
45948386.0,2967.0,0.0,-0.01171875,-0.04296875,0.01171875,0
45955419.0,7033.0,1.0,0.5294189453,0.4776000977,0.5409545898,-0.446105957
45958386.0,2967.0,0.0,0.02734375,-0.01171875,-0.0234375,0
45965419.0,7033.0,1.0,0.5294189453,0.4776000977,0.5409545898,-0.446105957
45968386.0,2967.0,0.0,-0.01171875,-0.01171875,0.01171875,0
45975419.0,7033.0,1.0,0.5294799805,0.4775390625,0.5409545898,-0.446105957
45978386.0,2967.0,0.0,0.02734375,0.02734375,0.12890625,0
45985419.0,7033.0,1.0,0.5294799805,0.4775390625,0.5409545898,-0.4460449219
45988386.0,2967.0,0.0,-0.01953125,-0.08984375,0.16015625,0
45995419.0,7033.0,1.0,0.5294799805,0.4775390625,0.5409545898,-0.4460449219
45998386.0,2967.0,0.0,0.01953125,-0.12890625,0.16015625,0
46005419.0,7033.0,1.0,0.5294799805,0.4775390625,0.5409545898,-0.4459838867
46008386.0,2967.0,0.0,-0.01953125,-0.05078125,0.11328125,0
46015419.0,7033.0,1.0,0.5294799805,0.4775390625,0.5409545898,-0.4459838867
46018386.0,2967.0,0.0,0.01953125,-0.05078125,-0.00390625,0
46025419.0,7033.0,1.0,0.5295410156,0.4775390625,0.541015625,-0.4459228516
46028386.0,2967.0,0.0,0.01953125,-0.04296875,-0.00390625,0
46035419.0,7033.0,1.0,0.5295410156,0.4775390625,0.541015625,-0.4459228516
46038386.0,2967.0,0.0,0.01953125,-0.00390625,-0.046875,0
46045419.0,7033.0,1.0,0.5295410156,0.4775390625,0.541015625,-0.4458618164
46048386.0,2967.0,0.0,-0.01953125,-0.01171875,-0.046875,0
46055419.0,7033.0,1.0,0.5296020508,0.4776000977,0.541015625,-0.4458007813
46058386.0,2967.0,0.0,0.01953125,-0.01171875,-0.046875,0
46065419.0,7033.0,1.0,0.5296020508,0.4776000977,0.541015625,-0.4458007813
46068386.0,2967.0,0.0,-0.01953125,0.02734375,-0.046875,0
46075419.0,7033.0,1.0,0.5296020508,0.4776000977,0.541015625,-0.4458007813
46078386.0,2967.0,0.0,0.01953125,0.1015625,-0.01171875,0
46085419.0,7033.0,1.0,0.5296630859,0.4776000977,0.541015625,-0.4457397461
46088386.0,2967.0,0.0,0.01953125,0.1015625,-0.046875,0
46095419.0,7033.0,1.0,0.5296630859,0.4775390625,0.5410766602,-0.4456787109
46098386.0,2967.0,0.0,0.01953125,0.06640625,-0.01171875,0
46105419.0,7033.0,1.0,0.5297241211,0.4775390625,0.5410766602,-0.4456787109
46108386.0,2967.0,0.0,-0.01953125,0.1015625,-0.046875,0
46115419.0,7033.0,1.0,0.5297241211,0.4775390625,0.5410766602,-0.4456176758
46118386.0,2967.0,0.0,-0.01953125,0.1328125,-0.0859375,0
46125419.0,7033.0,1.0,0.5297241211,0.4775390625,0.5410766602,-0.4456176758
46128386.0,2967.0,0.0,-0.01953125,0.1328125,0.06640625,0
46135419.0,7033.0,1.0,0.5297241211,0.4774780273,0.5411376953,-0.4456176758
46138386.0,2967.0,0.0,0.01953125,0.05859375,0.06640625,0
46145419.0,7033.0,1.0,0.5297241211,0.4774780273,0.5411376953,-0.4456176758
46148386.0,2967.0,0.0,-0.01953125,-0.01953125,0.02734375,0
46155419.0,7033.0,1.0,0.5297241211,0.4774780273,0.5411376953,-0.4456176758
46158386.0,2967.0,0.0,-0.01953125,-0.02734375,-0.046875,0
46165419.0,7033.0,1.0,0.5297241211,0.4774169922,0.5411376953,-0.4456176758
46168386.0,2967.0,0.0,-0.01953125,0.05078125,-0.0859375,0
46175419.0,7033.0,1.0,0.5297241211,0.4774169922,0.5411987305,-0.4456176758
46178386.0,2967.0,0.0,0.01953125,0.125,-0.125,0
46185419.0,7033.0,1.0,0.5297851563,0.477355957,0.5411987305,-0.4456176758
46188386.0,2967.0,0.0,-0.01953125,0.125,-0.1953125,0
46195419.0,7033.0,1.0,0.5297851563,0.477355957,0.5412597656,-0.4456176758
46198386.0,2967.0,0.0,-0.01953125,0.04296875,-0.15625,0
46205419.0,7033.0,1.0,0.5297851563,0.4772949219,0.5412597656,-0.4455566406
46208386.0,2967.0,0.0,-0.01953125,0.125,-0.00390625,0
46215419.0,7033.0,1.0,0.5298461914,0.4772338867,0.5413208008,-0.4455566406
46219386.0,3967.0,0.0,0.01953125,0.125,0.03515625,0
46225419.0,6033.0,1.0,0.5298461914,0.4771728516,0.5413818359,-0.4455566406
46228386.0,2967.0,0.0,-0.01953125,-0.03515625,0.16015625,0
46235419.0,7033.0,1.0,0.5297851563,0.4771118164,0.5413818359,-0.4455566406
46238386.0,2967.0,0.0,-0.01953125,-0.03515625,0.2265625,0
46245419.0,7033.0,1.0,0.5297851563,0.4771118164,0.5414428711,-0.4455566406
46248386.0,2967.0,0.0,-0.01953125,0.04296875,0.2265625,0
46255419.0,7033.0,1.0,0.5297851563,0.4770507813,0.5415039063,-0.4455566406
46259386.0,3967.0,0.0,0.01953125,0.078125,0.15234375,0
46265419.0,6033.0,1.0,0.5297851563,0.4769897461,0.5415649414,-0.4455566406
46268386.0,2967.0,0.0,0.01953125,0.03515625,0.14453125,0
46275419.0,7033.0,1.0,0.5297241211,0.4769897461,0.5416259766,-0.4454956055
46278386.0,2967.0,0.0,-0.01953125,-0.04296875,-0.01171875,0
46285419.0,7033.0,1.0,0.5297241211,0.4769287109,0.5416870117,-0.4454956055
46288386.0,2967.0,0.0,-0.01953125,0.00390625,-0.046875,0
46295419.0,7033.0,1.0,0.5296630859,0.4769287109,0.5417480469,-0.4455566406
46299386.0,3967.0,0.0,0.02734375,-0.03515625,-0.046875,0
46305419.0,6033.0,1.0,0.5296630859,0.4768676758,0.5418701172,-0.4454956055
46308386.0,2967.0,0.0,-0.01171875,-0.07421875,0.07421875,0
46315419.0,7033.0,1.0,0.5296630859,0.4768066406,0.5419311523,-0.4454956055
46318386.0,2967.0,0.0,-0.01171875,-0.07421875,0.02734375,0
46325419.0,7033.0,1.0,0.5296020508,0.4768066406,0.5419921875,-0.4454956055
46328386.0,2967.0,0.0,-0.01171875,-0.07421875,0.02734375,0
46335419.0,7033.0,1.0,0.5296020508,0.4767456055,0.5420532227,-0.4454956055
46339386.0,3967.0,0.0,-0.01171875,-0.07421875,0.02734375,0
46345419.0,6033.0,1.0,0.5296020508,0.4766845703,0.5421142578,-0.4454345703
46348386.0,2967.0,0.0,-0.01171875,-0.06640625,0.02734375,0
46355419.0,7033.0,1.0,0.5295410156,0.4766845703,0.542175293,-0.4454345703
46358386.0,2967.0,0.0,-0.01171875,-0.13671875,-0.01171875,0
46365419.0,7033.0,1.0,0.5295410156,0.4766235352,0.5422363281,-0.4453735352
46368386.0,2967.0,0.0,-0.01171875,-0.171875,-0.0859375,0
46375419.0,7033.0,1.0,0.5295410156,0.4766235352,0.5422973633,-0.4453735352
46378386.0,2967.0,0.0,-0.01171875,-0.171875,-0.046875,0
46385419.0,7033.0,1.0,0.5294799805,0.4765625,0.5423583984,-0.4453735352
46388386.0,2967.0,0.0,-0.01171875,-0.12890625,-0.00390625,0
46395419.0,7033.0,1.0,0.5294799805,0.4765625,0.5424194336,-0.4453125
46398386.0,2967.0,0.0,-0.01171875,-0.12890625,-0.0390625,0
46405419.0,7033.0,1.0,0.5294799805,0.4765625,0.5424804688,-0.4453125
46408386.0,2967.0,0.0,-0.01171875,-0.08203125,-0.0390625,0
46416419.0,8033.0,1.0,0.5294799805,0.4765014648,0.5425415039,-0.4452514648
46419386.0,2967.0,0.0,-0.01171875,-0.15625,0.03515625,0
46425419.0,6033.0,1.0,0.5294189453,0.4765014648,0.5426025391,-0.4452514648
46428386.0,2967.0,0.0,-0.01171875,-0.1875,0.07421875,0
46435419.0,7033.0,1.0,0.5294189453,0.4765014648,0.5426025391,-0.4451904297
46438386.0,2967.0,0.0,-0.01171875,0.00390625,0.10546875,0
46445419.0,7033.0,1.0,0.5294189453,0.4765014648,0.5426635742,-0.4451293945
46448386.0,2967.0,0.0,0.03515625,0.05078125,0.14453125,0
46456419.0,8033.0,1.0,0.5294189453,0.4765625,0.5427246094,-0.4451293945
46459386.0,2967.0,0.0,-0.00390625,0.01171875,0.10546875,0
46465419.0,6033.0,1.0,0.5293579102,0.4765625,0.5427856445,-0.4450683594
46468386.0,2967.0,0.0,0.03515625,-0.02734375,-0.078125,0
46475419.0,7033.0,1.0,0.529296875,0.4766235352,0.5427856445,-0.4450683594
46478386.0,2967.0,0.0,-0.00390625,-0.06640625,-0.1171875,0
46485419.0,7033.0,1.0,0.5292358398,0.4766235352,0.5428466797,-0.4450073242
46488386.0,2967.0,0.0,-0.00390625,-0.01953125,-0.15625,0
46496419.0,8033.0,1.0,0.5292358398,0.4766235352,0.5429077148,-0.4450073242
46499386.0,2967.0,0.0,0.03515625,-0.05859375,-0.1953125,0
46505419.0,6033.0,1.0,0.5291748047,0.4766845703,0.5429077148,-0.4449462891
46508386.0,2967.0,0.0,0.03515625,-0.1328125,-0.1953125,0
46515419.0,7033.0,1.0,0.5291748047,0.4766845703,0.54296875,-0.4449462891
46518386.0,2967.0,0.0,-0.00390625,-0.1640625,-0.109375,0
46525419.0,7033.0,1.0,0.5291748047,0.4766845703,0.54296875,-0.4448852539
46528386.0,2967.0,0.0,0.03515625,-0.08984375,-0.1875,0
46536419.0,8033.0,1.0,0.5291748047,0.4767456055,0.54296875,-0.4448242188
46539386.0,2967.0,0.0,-0.00390625,-0.08203125,-0.20703125,0
46545419.0,6033.0,1.0,0.5291748047,0.4767456055,0.5430297852,-0.4448242188
46548386.0,2967.0,0.0,0.03515625,-0.1171875,-0.1328125,0
46555419.0,7033.0,1.0,0.5291748047,0.4767456055,0.5430297852,-0.4448242188
46558386.0,2967.0,0.0,-0.00390625,-0.1171875,-0.125,0
46565419.0,7033.0,1.0,0.5291748047,0.4768066406,0.54296875,-0.4448242188
46568386.0,2967.0,0.0,0.03515625,-0.03515625,-0.125,0
46576419.0,8033.0,1.0,0.5291748047,0.4768066406,0.54296875,-0.4447631836
46579386.0,2967.0,0.0,0.02734375,-0.03515625,-0.1171875,0
46586419.0,7033.0,1.0,0.5291748047,0.4768066406,0.54296875,-0.4447631836
46589386.0,2967.0,0.0,-0.01171875,0.01171875,-0.078125,0
46595419.0,6033.0,1.0,0.5291748047,0.4768676758,0.5429077148,-0.4447631836
46598386.0,2967.0,0.0,0.02734375,0.01171875,-0.109375,0
46605419.0,7033.0,1.0,0.5291748047,0.4769287109,0.5429077148,-0.4447021484
46608386.0,2967.0,0.0,0.02734375,0.04296875,-0.0625,0
46616419.0,8033.0,1.0,0.5291748047,0.4769287109,0.5429077148,-0.4447021484
46619386.0,2967.0,0.0,-0.01171875,0.08203125,-0.0625,0
46625419.0,6033.0,1.0,0.5292358398,0.4769287109,0.5428466797,-0.4447021484
46628386.0,2967.0,0.0,-0.01171875,0.12109375,-0.015625,0
46635419.0,7033.0,1.0,0.5292358398,0.4769287109,0.5428466797,-0.4447021484
46638386.0,2967.0,0.0,0.02734375,0.15625,0.09765625,0
46646419.0,8033.0,1.0,0.529296875,0.4769287109,0.5428466797,-0.4446411133
46649386.0,2967.0,0.0,-0.01171875,0.12109375,0.09765625,0
46655419.0,6033.0,1.0,0.529296875,0.4769287109,0.5428466797,-0.4446411133
46658386.0,2967.0,0.0,-0.01171875,0.12109375,0.05859375,0
46665419.0,7033.0,1.0,0.529296875,0.4769287109,0.5428466797,-0.4446411133
46668386.0,2967.0,0.0,-0.01171875,0.08203125,-0.015625,0
46675419.0,7033.0,1.0,0.529296875,0.4769287109,0.5428466797,-0.4446411133
46679386.0,3967.0,0.0,0.02734375,0.07421875,0.05859375,0
46685419.0,6033.0,1.0,0.529296875,0.4769897461,0.5427856445,-0.4446411133
46688386.0,2967.0,0.0,-0.01171875,0.03515625,0.05859375,0
46695419.0,7033.0,1.0,0.529296875,0.4769897461,0.5427856445,-0.4446411133
46698386.0,2967.0,0.0,-0.01171875,0.1484375,-0.0546875,0
46705419.0,7033.0,1.0,0.529296875,0.4769897461,0.5427856445,-0.4446411133
46708386.0,2967.0,0.0,-0.01171875,0.140625,-0.125,0
46715419.0,7033.0,1.0,0.529296875,0.4769287109,0.5427856445,-0.4446411133
46718386.0,2967.0,0.0,-0.01171875,0.1796875,-0.0859375,0
46725419.0,7033.0,1.0,0.5293579102,0.4769287109,0.5428466797,-0.4446411133
46728386.0,2967.0,0.0,-0.01171875,0.1328125,-0.0078125,0
46735419.0,7033.0,1.0,0.5293579102,0.4769287109,0.5428466797,-0.4445800781
46738386.0,2967.0,0.0,0.02734375,0.01953125,0.14453125,0
46745419.0,7033.0,1.0,0.5294189453,0.4768676758,0.5428466797,-0.4445800781
46748386.0,2967.0,0.0,-0.01171875,-0.01953125,0.10546875,0
46755419.0,7033.0,1.0,0.5294189453,0.4768676758,0.5429077148,-0.444519043
46758386.0,2967.0,0.0,-0.01171875,-0.06640625,0.10546875,0
46765419.0,7033.0,1.0,0.5294189453,0.4768676758,0.5429077148,-0.444519043
46768386.0,2967.0,0.0,0.02734375,0.05078125,0.10546875,0
46775419.0,7033.0,1.0,0.5294189453,0.4768676758,0.5429077148,-0.444519043
46778386.0,2967.0,0.0,-0.01171875,0.125,0.09765625,0
46785419.0,7033.0,1.0,0.5294189453,0.4768676758,0.5429077148,-0.444519043
46788386.0,2967.0,0.0,-0.01171875,0.05078125,0.13671875,0
46796419.0,8033.0,1.0,0.5294189453,0.4768066406,0.54296875,-0.4444580078
46799386.0,2967.0,0.0,-0.01171875,0.00390625,0.13671875,0
46806419.0,7033.0,1.0,0.5294189453,0.4768066406,0.54296875,-0.4444580078
46809386.0,2967.0,0.0,0.02734375,0.04296875,0.12890625,0
46815419.0,6033.0,1.0,0.5294189453,0.4768066406,0.54296875,-0.4444580078
46818386.0,2967.0,0.0,-0.01171875,0.04296875,0.015625,0
46825419.0,7033.0,1.0,0.5294189453,0.4768066406,0.5430297852,-0.4444580078
46828386.0,2967.0,0.0,-0.01171875,0.04296875,0.015625,0
46836419.0,8033.0,1.0,0.5294189453,0.4768066406,0.5430297852,-0.4444580078
46839386.0,2967.0,0.0,-0.01171875,0.03515625,0.0078125,0
46846419.0,7033.0,1.0,0.5294189453,0.4767456055,0.5430908203,-0.4443969727
46849386.0,2967.0,0.0,-0.01171875,0.03515625,0.08203125,0
46855419.0,6033.0,1.0,0.5294189453,0.4767456055,0.5430908203,-0.4443969727
46858386.0,2967.0,0.0,-0.01171875,0.07421875,0.12109375,0
46865419.0,7033.0,1.0,0.5294189453,0.4767456055,0.5431518555,-0.4443359375
46868386.0,2967.0,0.0,0.02734375,0.07421875,0.11328125,0
46876419.0,8033.0,1.0,0.5293579102,0.4766845703,0.5432128906,-0.4443359375
46879386.0,2967.0,0.0,0.02734375,0.02734375,0.15234375,0
46885419.0,6033.0,1.0,0.5293579102,0.4766845703,0.5432739258,-0.4442749023
46888386.0,2967.0,0.0,0.02734375,-0.203125,0.15234375,0
46895419.0,7033.0,1.0,0.5293579102,0.4766845703,0.5433349609,-0.4442138672
46898386.0,2967.0,0.0,0.02734375,-0.1640625,0.03515625,0
46905419.0,7033.0,1.0,0.5293579102,0.4766845703,0.5433959961,-0.444152832
46908386.0,2967.0,0.0,-0.01171875,-0.12890625,-0.1171875,0
46916419.0,8033.0,1.0,0.529296875,0.4766845703,0.5434570313,-0.444152832
46919386.0,2967.0,0.0,-0.01171875,-0.08203125,-0.23046875,0
46925419.0,6033.0,1.0,0.529296875,0.4766845703,0.5434570313,-0.444152832
46928386.0,2967.0,0.0,-0.01171875,-0.08203125,-0.26953125,0
46935419.0,7033.0,1.0,0.529296875,0.4766845703,0.5434570313,-0.4440917969
46938386.0,2967.0,0.0,-0.01171875,-0.08203125,-0.15625,0
46945419.0,7033.0,1.0,0.529296875,0.4766845703,0.5435180664,-0.4440917969
46948386.0,2967.0,0.0,0.02734375,-0.08203125,-0.1171875,0
46956419.0,8033.0,1.0,0.5293579102,0.4766235352,0.5435180664,-0.4440307617
46959386.0,2967.0,0.0,-0.01171875,-0.07421875,-0.0703125,0
