time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
36380429.0,7032.0,1.0,0.3376464844,-0.6006469727,0.4278564453,0.5848999023
36383397.0,2968.0,0.0,-0.01953125,0.11328125,-0.0234375,0
36390429.0,7032.0,1.0,0.3376464844,-0.6006469727,0.4278564453,0.5848999023
36393397.0,2968.0,0.0,0.01953125,0.11328125,-0.0234375,0
36399429.0,6032.0,1.0,0.3376464844,-0.6006469727,0.4278564453,0.5848999023
36402397.0,2968.0,0.0,-0.01953125,0.15234375,0.015625,0
36410429.0,8032.0,1.0,0.3376464844,-0.6006469727,0.4278564453,0.5848999023
36413397.0,2968.0,0.0,0.01953125,0.15234375,0.08984375,0
36419429.0,6032.0,1.0,0.3376464844,-0.6006469727,0.4278564453,0.5848999023
36422397.0,2968.0,0.0,0.01953125,0.21875,0.12890625,0
36430429.0,8032.0,1.0,0.3376464844,-0.6006469727,0.4279174805,0.5848999023
36433397.0,2968.0,0.0,0.05859375,0.21875,0.16796875,0
36440429.0,7032.0,1.0,0.3376464844,-0.6006469727,0.4279174805,0.5848999023
36443397.0,2968.0,0.0,0.01953125,0.21875,0.16015625,0
36450429.0,7032.0,1.0,0.3376464844,-0.6007080078,0.4279174805,0.5848388672
36453397.0,2968.0,0.0,0.01953125,0.17578125,0.12109375,0
36459429.0,6032.0,1.0,0.3376464844,-0.6007080078,0.4279174805,0.5848388672
36462397.0,2968.0,0.0,0.01171875,0.05078125,0.08203125,0
36469429.0,7032.0,1.0,0.3376464844,-0.600769043,0.4279174805,0.584777832
36472397.0,2968.0,0.0,0.01953125,-0.0234375,0.0390625,0
36480429.0,8032.0,1.0,0.3376464844,-0.600769043,0.4279174805,0.584777832
36483397.0,2968.0,0.0,-0.01953125,-0.1015625,0.0,0
36490429.0,7032.0,1.0,0.3376464844,-0.6008300781,0.4279174805,0.5847167969
36493397.0,2968.0,0.0,-0.01953125,-0.1015625,0.0390625,0
36500429.0,7032.0,1.0,0.3376464844,-0.6008300781,0.4279174805,0.5847167969
36503397.0,2968.0,0.0,0.01171875,-0.0625,-0.046875,0
36510429.0,7032.0,1.0,0.3376464844,-0.6008911133,0.4279174805,0.5847167969
36514397.0,3968.0,0.0,-0.01953125,-0.0625,-0.046875,0
36520429.0,6032.0,1.0,0.3375854492,-0.6008911133,0.4279174805,0.5846557617
36523397.0,2968.0,0.0,-0.02734375,0.00390625,-0.0859375,0
36530429.0,7032.0,1.0,0.3375854492,-0.6008911133,0.4279174805,0.5846557617
36533397.0,2968.0,0.0,0.01171875,0.00390625,-0.046875,0
36540429.0,7032.0,1.0,0.3375854492,-0.6008911133,0.4279174805,0.5846557617
